"CVEGEO","NOMGEO","n_federal_offices","no_n_federal_offices"
1005,"JESUS MARIA",9,0
1005,"JESUS MARIA",8,0
1008,"SAN JOSE DE GRACIA",8,0
1001,"AGUASCALIENTES",133,0
1004,"COSIO",6,0
1011,"SAN FRANCISCO DE LOS ROMO",3,0
1006,"PABELLON DE ARTEAGA",13,0
1003,"CALVILLO",154,0
1010,"EL LLANO",8,0
1002,"ASIENTOS",13,0
1009,"TEPEZALA",4,0
1007,"RINCON DE ROMOS",11,0
2003,"TECATE",27,0
2004,"TIJUANA",135,0
2001,"ENSENADA",181,0
2006,"SAN QUINTIN",16,0
2007,"SAN FELIPE",1,0
2007,"SAN FELIPE",31,0
2007,"SAN FELIPE",3,0
2002,"MEXICALI",377,0
2005,"PLAYAS DE ROSARITO",13,0
3002,"MULEGE",116,0
3009,"LORETO",69,0
3009,"LORETO",17,0
3008,"LOS CABOS",81,0
3003,"LA PAZ",189,0
3003,"LA PAZ",28,0
3001,"COMONDU",104,0
4003,"CARMEN",165,0
4007,"PALIZADA",10,0
4013,"DZITBALCHE",0,1
4005,"HECELCHAKAN",16,0
4004,"CHAMPOTON",65,0
4011,"CANDELARIA",25,0
4012,"SEYBAPLAYA",3,0
4002,"CAMPECHE",152,0
4006,"HOPELCHEN",30,0
4001,"CALKINI",19,0
4010,"CALAKMUL",18,0
4009,"ESCARCEGA",30,0
4008,"TENABO",6,0
5005,"CANDELA",1,0
5017,"MATAMOROS",7,0
5017,"MATAMOROS",26,0
5017,"MATAMOROS",146,0
5018,"MONCLOVA",45,0
5014,"JIMENEZ",33,0
5014,"JIMENEZ",10,0
5014,"JIMENEZ",23,0
5014,"JIMENEZ",7,0
5035,"TORREON",120,0
5013,"HIDALGO",6,0
5013,"HIDALGO",118,0
5013,"HIDALGO",2,0
5013,"HIDALGO",25,0
5015,"JUAREZ",27,0
5015,"JUAREZ",171,0
5015,"JUAREZ",3,0
5015,"JUAREZ",2,0
5015,"JUAREZ",6,0
5020,"MUZQUIZ",22,0
5024,"PARRAS",33,0
5026,"PROGRESO",3,0
5026,"PROGRESO",56,0
5027,"RAMOS ARIZPE",73,0
5025,"PIEDRAS NEGRAS",39,0
5028,"SABINAS",20,0
5030,"SALTILLO",127,0
5031,"SAN BUENAVENTURA",13,0
5016,"LAMADRID",3,0
5004,"ARTEAGA",9,0
5004,"ARTEAGA",81,0
5002,"ACUNA",29,0
5032,"SAN JUAN DE SABINAS",8,0
5033,"SAN PEDRO",41,0
5009,"FRANCISCO I. MADERO",27,0
5009,"FRANCISCO I. MADERO",12,0
5012,"GUERRERO",70,0
5012,"GUERRERO",2,0
5012,"GUERRERO",14,0
5006,"CASTANOS",14,0
5003,"ALLENDE",19,0
5003,"ALLENDE",17,0
5003,"ALLENDE",2,0
5023,"OCAMPO",11,0
5023,"OCAMPO",12,0
5023,"OCAMPO",16,0
5023,"OCAMPO",1,0
5023,"OCAMPO",12,0
5023,"OCAMPO",10,0
5008,"ESCOBEDO",6,0
5022,"NAVA",11,0
5019,"MORELOS",12,0
5019,"MORELOS",4,0
5019,"MORELOS",13,0
5019,"MORELOS",6,0
5019,"MORELOS",10,0
5007,"CUATRO CIENEGAS",24,0
5034,"SIERRA MOJADA",24,0
5037,"VILLA UNION",3,0
5029,"SACRAMENTO",1,0
5001,"ABASOLO",1,0
5001,"ABASOLO",16,0
5001,"ABASOLO",2,0
5001,"ABASOLO",19,0
5038,"ZARAGOZA",15,0
5038,"ZARAGOZA",6,0
5038,"ZARAGOZA",15,0
5038,"ZARAGOZA",3,0
5021,"NADADORES",4,0
5010,"FRONTERA",13,0
5011,"GENERAL CEPEDA",33,0
5036,"VIESCA",21,0
6006,"IXTLAHUACAN",7,0
6002,"COLIMA",93,0
6005,"CUAUHTEMOC",46,0
6005,"CUAUHTEMOC",805,0
6005,"CUAUHTEMOC",17,0
6005,"CUAUHTEMOC",5,0
6008,"MINATITLAN",8,0
6008,"MINATITLAN",281,0
6001,"ARMERIA",37,0
6004,"COQUIMATLAN",21,0
6010,"VILLA DE ALVAREZ",27,0
6003,"COMALA",18,0
6007,"MANZANILLO",129,0
6009,"TECOMAN",53,0
7019,"COMITAN DE DOMINGUEZ",58,0
7090,"TAPALAPA",1,0
7020,"LA CONCORDIA",36,0
7021,"COPAINALA",10,0
7079,"SAN FERNANDO",11,0
7079,"SAN FERNANDO",52,0
7109,"YAJALON",17,0
7108,"VILLAFLORES",54,0
7107,"VILLA CORZO",26,0
7106,"VENUSTIANO CARRANZA",70,0
7106,"VENUSTIANO CARRANZA",191,0
7106,"VENUSTIANO CARRANZA",10,0
7106,"VENUSTIANO CARRANZA",12,0
7104,"TZIMOL",46,0
7103,"TUZANTAN",12,0
7102,"TUXTLA CHICO",16,0
7101,"TUXTLA GUTIERREZ",121,0
7120,"CAPITAN LUIS ANGEL VIDAL",0,1
7074,"REFORMA",41,0
7075,"LAS ROSAS",5,0
7057,"MOTOZINTLA",49,0
7007,"AMATENANGO DEL VALLE",4,0
7111,"ZINACANTAN",8,0
7054,"MAZATAN",46,0
7054,"MAZATAN",3,0
7076,"SABANILLA",19,0
7081,"SIMOJOVEL",51,0
7063,"OSUMACINTA",1,0
7110,"SAN LUCAS",2,0
7110,"SAN LUCAS",18,0
7051,"MAPASTEPEC",52,0
7070,"EL PORVENIR",9,0
7112,"SAN JUAN CANCUC",12,0
7050,"LA LIBERTAD",2,0
7022,"CHALCHIHUITAN",7,0
7053,"MAZAPA DE MADERO",11,0
7080,"SILTEPEC",33,0
7049,"LARRAINZAR",7,0
7065,"PALENQUE",67,0
7086,"SUCHIAPA",6,0
7062,"OSTUACAN",11,0
7077,"SALTO DE AGUA",79,0
7082,"SITALA",9,0
7024,"CHANAL",5,0
7121,"RINCON CHAMULA SAN PEDRO",0,1
7042,"IXHUATAN",4,0
7025,"CHAPULTENANGO",2,0
7018,"COAPILLA",4,0
7052,"LAS MARGARITAS",72,0
7026,"CHENALHO",20,0
7083,"SOCOLTENANGO",65,0
7084,"SOLOSUCHIAPA",4,0
7089,"TAPACHULA",203,0
7068,"PICHUCALCO",23,0
7027,"CHIAPA DE CORZO",22,0
7048,"JUAREZ",27,0
7048,"JUAREZ",171,0
7048,"JUAREZ",3,0
7048,"JUAREZ",2,0
7048,"JUAREZ",6,0
7046,"JIQUIPILAS",28,0
7105,"UNION JUAREZ",11,0
7100,"TUMBALA",49,0
7045,"IXTAPANGAJOYA",4,0
7114,"BENEMERITO DE LAS AMERICAS",6,0
7028,"CHIAPILLA",2,0
7029,"CHICOASEN",4,0
7091,"TAPILULA",5,0
7073,"RAYON",2,0
7073,"RAYON",3,0
7073,"RAYON",15,0
7073,"RAYON",2,0
7030,"CHICOMUSELO",12,0
7044,"IXTAPA",5,0
7008,"ANGEL ALBINO CORZO",8,0
7009,"ARRIAGA",26,0
7031,"CHILON",42,0
7043,"IXTACOMITAN",3,0
7017,"CINTALAPA DE FIGUEROA",0,1
7119,"SANTIAGO EL PINAR",2,0
7116,"MARQUES DE COMILLAS",7,0
7060,"OCOTEPEC",5,0
7060,"OCOTEPEC",3,0
7058,"NICOLAS RUIZ",2,0
7041,"LA INDEPENDENCIA",128,0
7040,"HUIXTLA",72,0
7056,"MITONTIC",5,0
7039,"HUITIUPAN",18,0
7099,"LA TRINITARIA",71,0
7097,"TONALA",60,0
7097,"TONALA",54,0
7096,"TILA",35,0
7118,"SAN ANDRES DURAZNAL",2,0
7122,"EL PARRAL",1,0
