"CVEGEO","NOMGEO","n_aerodromes","no_n_aerodromes","n_heliports","no_n_heliports","has_aerodrome","has_heliport"
"01005","Jesús María",0,1,0,1,0,0
"01008","San José de Gracia",0,1,0,1,0,0
"01001","Aguascalientes",0,0,1,0,0,1
"01004","Cosío",0,1,0,1,0,0
"01011","San Francisco de los Romo",0,1,0,1,0,0
"01006","Pabellón de Arteaga",0,1,0,1,0,0
"01003","Calvillo",0,1,0,1,0,0
"01010","El Llano",0,1,0,1,0,0
"01002","Asientos",0,1,0,1,0,0
"01009","Tepezalá",0,1,0,1,0,0
"01007","Rincón de Romos",0,1,0,1,0,0
"02003","Tecate",2,0,0,0,1,0
"02004","Tijuana",0,1,0,1,0,0
"02001","Ensenada",2,0,0,0,1,0
"02006","San Quintín",7,0,0,0,1,0
"02007","San Felipe",2,0,0,0,1,0
"02002","Mexicali",12,0,0,0,1,0
"02005","Playas de Rosarito",0,1,0,1,0,0
"03002","Mulegé",9,0,0,0,1,0
"03009","Loreto",1,0,1,0,1,1
"03008","Los Cabos",3,0,1,0,1,1
"03003","La Paz",5,0,0,0,1,0
"03001","Comondú",3,0,0,0,1,0
"04003","Carmen",0,1,0,1,0,0
"04007","Palizada",0,1,0,1,0,0
"04013","Dzitbalché",0,1,0,1,0,0
"04005","Hecelchakán",0,1,0,1,0,0
"04004","Champotón",3,0,0,0,1,0
"04011","Candelaria",0,1,0,1,0,0
"04012","Seybaplaya",0,1,0,1,0,0
"04002","Campeche",1,0,0,0,1,0
"04006","Hopelchén",0,1,0,1,0,0
"04001","Calkiní",0,1,0,1,0,0
"04010","Calakmul",0,1,0,1,0,0
"04009","Escárcega",1,0,0,0,1,0
"04008","Tenabo",0,1,0,1,0,0
"05005","Candela",1,0,0,0,1,0
"05017","Matamoros",0,1,0,1,0,0
"05018","Monclova",1,0,1,0,1,1
"05014","Jiménez",0,1,0,1,0,0
"05035","Torreón",0,1,0,1,0,0
"05013","Hidalgo",1,0,0,0,1,0
"05015","Juárez",6,0,0,0,1,0
"05020","Múzquiz",8,0,0,0,1,0
"05024","Parras",1,0,0,0,1,0
"05026","Progreso",2,0,0,0,1,0
"05027","Ramos Arizpe",0,1,0,1,0,0
"05025","Piedras Negras",0,1,0,1,0,0
"05028","Sabinas",0,1,0,1,0,0
"05030","Saltillo",0,1,0,1,0,0
"05031","San Buenaventura",7,0,0,0,1,0
"05016","Lamadrid",0,1,0,1,0,0
"05004","Arteaga",0,1,0,1,0,0
"05002","Acuña",5,0,0,0,1,0
"05032","San Juan de Sabinas",0,1,0,1,0,0
"05033","San Pedro",1,0,0,0,1,0
"05009","Francisco I. Madero",0,1,0,1,0,0
"05012","Guerrero",5,0,0,0,1,0
"05006","Castaños",0,1,0,1,0,0
"05003","Allende",0,1,0,1,0,0
"05023","Ocampo",7,0,0,0,1,0
"05008","Escobedo",0,1,0,1,0,0
"05022","Nava",0,1,0,1,0,0
"05019","Morelos",0,1,0,1,0,0
"05007","Cuatro Ciénegas",0,1,0,1,0,0
"05034","Sierra Mojada",1,0,0,0,1,0
"05037","Villa Unión",0,1,0,1,0,0
"05029","Sacramento",0,1,0,1,0,0
"05001","Abasolo",0,1,0,1,0,0
"05038","Zaragoza",5,0,0,0,1,0
"05021","Nadadores",0,1,0,1,0,0
"05010","Frontera",0,1,0,1,0,0
"05011","General Cepeda",0,1,0,1,0,0
"05036","Viesca",0,1,0,1,0,0
"06006","Ixtlahuacán",0,1,0,1,0,0
