CVEGEO,municipio,rank_composite,rank_pca,rank_lda
25006,Culiacán,1,1,1
02004,Tijuana,2,2,2
15033,Ecatepec de Morelos,3,3,3
08037,Juárez,4,4,4
11020,León,6,6,5
21114,Puebla,5,5,6
09007,Iztapalapa,8,8,7
14039,Guadalajara,9,9,8
12001,Acapulco de Juárez,7,7,9
15057,Naucalpan de Juárez,12,12,10
09005,Gustavo A. Madero,23,23,11
14120,Zapopan,17,16,12
15104,Tlalnepantla de Baz,11,11,13
14098,San Pedro Tlaquepaque,10,10,14
02002,Mexicali,20,19,15
19039,Monterrey,26,26,16
23005,Benito Juárez,24,25,17
27004,Centro,14,14,18
16053,Morelia,16,17,19
15106,Toluca,29,29,20
26030,Hermosillo,21,21,21
15058,Nezahualcóyotl,33,32,22
15031,Chimalhuacán,13,13,23
08019,Chihuahua,25,24,24
11017,Irapuato,22,22,25
24028,San Luis Potosí,31,31,26
11007,Celaya,18,18,27
26018,Cajeme,15,15,28
17007,Cuernavaca,19,20,31
25012,Mazatlán,27,27,36
16102,Uruapan,30,30,37
14101,Tonalá,39,39,39
15025,Chalco,37,37,40
11027,Salamanca,36,35,41
15039,Ixtapaluca,54,54,46
15122,Valle de Chalco Solidaridad,45,45,49
16108,Zamora,41,41,51
06007,Manzanillo,43,42,55
15070,La Paz,46,46,58
12029,Chilpancingo de los Bravo,51,51,60
26055,San Luis Río Colorado,49,49,62
19018,García,71,69,65
31050,Mérida,97,97,67
19021,General Escobedo,86,86,69
16006,Apatzingán,42,43,73
21156,Tehuacán,84,84,78
17006,Cuautla,59,59,82
06002,Colima,74,73,87
23008,Solidaridad,103,104,88
20067,Oaxaca de Juárez,116,117,95
32010,Fresnillo,122,122,98
15099,Texcoco,101,102,105
15029,Chicoloapan,118,118,112
04003,Carmen,147,145,118
12035,Iguala de la Independencia,113,115,123
10007,Gómez Palacio,170,169,129
02006,San Quintín,160,158,172
24013,Ciudad Valles,235,235,176
02005,Playas de Rosarito,150,149,180
31041,Kanasín,272,271,200
15011,Atenco,303,306,337
