clave_ent,entidad,CVEGEO,municipio,homicidio_doloso_prom_diario,robo_veh_violencia_prom_diario,nom_mun_envipe,n_muestra_percepcion,pct_inseguro_municipio,n_inseguro_popw,non_sampled,z_homicidio,z_robo_veh,z_inseguro,composite,rank_composite
1,Aguascalientes,1001,Aguascalientes,0.112328767123287,0.128767123287671,AGUASCALIENTES,1305.0,0.402566586939042,264703.231,0,0.8117209172736894,0.3381472754207464,3.1077204185578466,1.4191962037507608,63
1,Aguascalientes,1002,Asientos,0.00821917808219178,0.0273972602739726,ASIENTOS,106.0,0.62786805945953,20111.86968,0,-0.12396889643446825,-0.058803343392759645,-0.007868550154441578,-0.06354692999388982,476
1,Aguascalientes,1003,Calvillo,0.0,0.00547945205479452,CALVILLO,83.0,0.37922419460881,14514.80605,0,-0.19783914488511273,-0.14463050421730167,-0.0791635853049036,-0.14054441146910598,751
1,Aguascalientes,1004,Cosío,0.00547945205479452,0.0191780821917808,,,,0.0,1,-0.14859231258468308,-0.09098852870196299,-0.26405224763674284,-0.16787769630779628,953
1,Aguascalientes,1005,Jesús María,0.0410958904109589,0.0438356164383561,JESUS MARIA,144.0,0.578303541795078,48465.88493,0,0.17151209736810974,0.005567027225646646,0.35330306545313117,0.17679406334896253,241
1,Aguascalientes,1006,Pabellón de Arteaga,0.021917808219178,0.00821917808219178,PABELLON DE ARTEAGA,36.0,0.620274670819765,18977.92383,0,-0.000851815683394814,-0.13390210911423392,-0.02231267917973024,-0.05235553465911966,456
1,Aguascalientes,1007,Rincón de Romos,0.0164383561643835,0.00547945205479452,RINCON DE ROMOS,51.0,0.608694336882865,21933.69174,0,-0.05009864798382428,-0.14463050421730167,0.01533770162182901,-0.05979715019309898,467
1,Aguascalientes,1008,San José de Gracia,0.00273972602739726,0.00273972602739726,,,,0.0,1,-0.1732157287348979,-0.15535889932036942,-0.26405224763674284,-0.1975422918973367,1396
1,Aguascalientes,1009,Tepezalá,0.00273972602739726,0.00273972602739726,,,,0.0,1,-0.1732157287348979,-0.15535889932036942,-0.26405224763674284,-0.1975422918973367,1396
1,Aguascalientes,1010,El Llano,0.010958904109589,0.00547945205479452,EL LLANO,18.0,0.444415448851774,5945.389875,0,-0.09934548028425377,-0.14463050421730167,-0.18832025526678547,-0.14409874658944696,770
1,Aguascalientes,1011,San Francisco de los Romo,0.0136986301369863,0.0136986301369863,SAN FRANCISCO DE LOS ROMO,37.0,0.472309659649813,18028.05971,0,-0.07472206413403858,-0.11244531890809842,-0.03441198701332057,-0.07385979001848585,512
2,Baja California,2001,Ensenada,0.257534246575342,0.145205479452054,ENSENADA,303.0,0.689504435738503,219840.2153,0,2.1167619732350778,0.4025176460391507,2.5362582211042812,1.6851792801261698,55
2,Baja California,2002,Mexicali,0.476712328767123,0.545205479452054,MEXICALI,747.0,0.678784834385041,518145.6518,0,4.086635265252266,1.968863331087043,6.336053611467104,4.130517402602138,20
2,Baja California,2003,Tecate,0.161643835616438,0.0712328767123287,TECATE,84.0,0.6814302416212,52720.2135,0,1.2549424079775593,0.11285097825632416,0.40749442810157843,0.5917626047784873,135
2,Baja California,2004,Tijuana,2.93972602739726,1.52602739726027,TIJUANA,1308.0,0.73664547699114,1012248.123,0,26.2230863842954,5.809628777985286,12.629898988410613,14.887538050230432,2
2,Baja California,2005,Playas de Rosarito,0.147945205479452,0.0931506849315068,PLAYAS DE ROSARITO,108.0,0.352883721367055,31899.62976,0,1.1318253272264878,0.19867813908086626,0.1422831766803689,0.49092888099590765,150
2,Baja California,2006,San Quintín,0.136986301369863,0.0164383561643835,SAN QUINTIN,55.0,0.64517927140648,48279.41006,0,1.0333316626256288,-0.10171692380503089,0.35092776059862346,0.4275141664730738,160
2,Baja California,2007,San Felipe,0.0712328767123287,0.0,,,,0.0,1,0.44236967502047236,-0.16608729442343717,-0.26405224763674284,0.0040767109867641165,368
3,Baja California Sur,3001,Comondú,0.117808219178082,0.00273972602739726,COMONDU,254.0,0.341164721098904,17426.01162,0,0.8609677495741234,-0.15535889932036942,-0.042080836713144075,0.2211760045135366,227
3,Baja California Sur,3002,Mulegé,0.0410958904109589,0.00273972602739726,MULEGE,187.0,0.44915758630162,19597.19465,0,0.17151209736810974,-0.15535889932036942,-0.014424447457134022,0.0005762501968687659,373
3,Baja California Sur,3003,La Paz,0.0410958904109589,0.0164383561643835,LA PAZ,1045.0,0.313954445180224,66914.68067,0,0.17151209736810974,-0.10171692380503089,0.5883026344623178,0.21936593600846555,229
3,Baja California Sur,3008,Los Cabos,0.0575342465753424,0.0164383561643835,LOS CABOS,1132.0,0.327402890096778,77779.14018,0,0.31925259426939817,-0.10171692380503089,0.7266934182483905,0.31474302957091926,187
3,Baja California Sur,3009,Loreto,0.0520547945205479,0.0,LORETO,37.0,0.282124352331606,3545.73886,0,0.2700057619689687,-0.16608729442343717,-0.21888685496493235,-0.03832279580646694,432
4,Campeche,4001,Calkiní,0.00273972602739726,0.0,CALKINI,153.0,0.585032534029326,23887.4634,0,-0.1732157287348979,-0.16608729442343717,0.040224718883713644,-0.09969276809154047,582
4,Campeche,4002,Campeche,0.0657534246575342,0.00273972602739726,CAMPECHE,790.0,0.633980983877635,135011.9563,0,0.3931228427200429,-0.15535889932036942,1.455721334808869,0.5644950927361808,139
4,Campeche,4003,Carmen,0.0712328767123287,0.00821917808219178,CARMEN,694.0,0.684108155494069,118215.2575,0,0.44236967502047236,-0.13390210911423392,1.2417660699555153,0.5167445452872513,147
4,Campeche,4004,Champotón,0.0465753424657534,0.00547945205479452,CHAMPOTON,180.0,0.732749671935288,37736.6081,0,0.22075892966853922,-0.14463050421730167,0.21663422991697207,0.0975875517894032,281
4,Campeche,4005,Hecelchakán,0.00273972602739726,0.0,HECELCHAKAN,53.0,0.561129711631925,12196.71541,0,-0.1732157287348979,-0.16608729442343717,-0.10869127421215957,-0.14933143245683153,805
4,Campeche,4006,Hopelchén,0.00273972602739726,0.0,HOPELCHEN,96.0,0.455689768582192,12115.87957,0,-0.1732157287348979,-0.16608729442343717,-0.1097209559229993,-0.1496746596937781,813
4,Campeche,4007,Palizada,0.00273972602739726,0.0,PALIZADA,20.0,0.534883720930232,3097.511628,0,-0.1732157287348979,-0.16608729442343717,-0.22459634450683244,-0.18796645588838914,1220
4,Campeche,4008,Tenabo,0.0,0.00273972602739726,TENABO,28.0,0.516849861094335,4020.05822,0,-0.19783914488511273,-0.15535889932036942,-0.2128450055811789,-0.1886810165955537,1225
4,Campeche,4009,Escárcega,0.0164383561643835,0.0,ESCARCEGA,142.0,0.692025277023719,26721.86405,0,-0.05009864798382428,-0.16608729442343717,0.07632913136334135,-0.04661893701464004,446
4,Campeche,4010,Calakmul,0.0164383561643835,0.00273972602739726,CALAKMUL,89.0,0.571087611074392,10582.82452,0,-0.05009864798382428,-0.15535889932036942,-0.12924891216982567,-0.11156881982467311,623
4,Campeche,4011,Candelaria,0.0301369863013698,0.00273972602739726,CANDELARIA,53.0,0.641487439529055,18739.13108,0,0.07301843276724988,-0.15535889932036942,-0.025354405811829565,-0.03589829078831636,430
4,Campeche,4012,Seybaplaya,0.0164383561643835,0.0,SEYBAPLAYA,19.0,0.584864185900455,6344.021824,0,-0.05009864798382428,-0.16608729442343717,-0.18324250723767257,-0.13314281654831137,712
4,Campeche,4013,Dzitbalché,0.00273972602739726,0.0,,,,0.0,1,-0.1732157287348979,-0.16608729442343717,-0.26405224763674284,-0.2011184235983593,1482
5,Coahuila de Zaragoza,5001,Abasolo,0.0,0.0,ABASOLO,16.0,0.0882259195512207,68.81621725,0,-0.19783914488511273,-0.16608729442343717,-0.26317567110445844,-0.2090340368043361,1823
5,Coahuila de Zaragoza,5002,Acuña,0.010958904109589,0.00547945205479452,ACUNA,132.0,0.0953359100550837,10327.45313,0,-0.09934548028425377,-0.14463050421730167,-0.13250181644786269,-0.12549260031647272,676
5,Coahuila de Zaragoza,5003,Allende,0.0,0.0,ALLENDE,35.0,0.127998292787025,2003.557277,0,-0.19783914488511273,-0.16608729442343717,-0.23853106439986782,-0.20081916790280588,1479
5,Coahuila de Zaragoza,5004,Arteaga,0.00273972602739726,0.0,ARTEAGA,29.0,0.477566944493704,9596.70775,0,-0.1732157287348979,-0.16608729442343717,-0.14181000391850213,-0.16037100902561238,892
5,Coahuila de Zaragoza,5005,Candela,0.0,0.0,,,,0.0,1,-0.19783914488511273,-0.16608729442343717,-0.26405224763674284,-0.20932622898176426,1826
5,Coahuila de Zaragoza,5006,Castaños,0.00273972602739726,0.00273972602739726,CASTANOS,57.0,0.336850965980249,6621.142587,0,-0.1732157287348979,-0.15535889932036942,-0.17971256085058676,-0.16942906296861804,974
5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,0.0,0.0,,,,0.0,1,-0.19783914488511273,-0.16608729442343717,-0.26405224763674284,-0.20932622898176426,1826
5,Coahuila de Zaragoza,5008,Escobedo,0.0,0.0,,,,0.0,1,-0.19783914488511273,-0.16608729442343717,-0.26405224763674284,-0.20932622898176426,1826
5,Coahuila de Zaragoza,5009,Francisco I. Madero,0.0,0.0,FRANCISCO I. MADERO,36.0,0.486944091486658,19039.02703,0,-0.19783914488511273,-0.16608729442343717,-0.021534350563193534,-0.1284869299572478,691
5,Coahuila de Zaragoza,5010,Frontera,0.00547945205479452,0.0,FRONTERA,65.0,0.287459899794542,16137.71131,0,-0.14859231258468308,-0.16608729442343717,-0.058491122884180714,-0.12439024329743366,670
5,Coahuila de Zaragoza,5011,General Cepeda,0.0,0.0,,,,0.0,1,-0.19783914488511273,-0.16608729442343717,-0.26405224763674284,-0.20932622898176426,1826
5,Coahuila de Zaragoza,5012,Guerrero,0.0,0.0,,,,0.0,1,-0.19783914488511273,-0.16608729442343717,-0.26405224763674284,-0.20932622898176426,1826
5,Coahuila de Zaragoza,5013,Hidalgo,0.00273972602739726,0.0,,,,0.0,1,-0.1732157287348979,-0.16608729442343717,-0.26405224763674284,-0.2011184235983593,1482
5,Coahuila de Zaragoza,5014,Jiménez,0.0,0.0,,,,0.0,1,-0.19783914488511273,-0.16608729442343717,-0.26405224763674284,-0.20932622898176426,1826
5,Coahuila de Zaragoza,5015,Juárez,0.0,0.0,,,,0.0,1,-0.19783914488511273,-0.16608729442343717,-0.26405224763674284,-0.20932622898176426,1826
5,Coahuila de Zaragoza,5016,Lamadrid,0.0,0.0,,,,0.0,1,-0.19783914488511273,-0.16608729442343717,-0.26405224763674284,-0.20932622898176426,1826
5,Coahuila de Zaragoza,5017,Matamoros,0.00547945205479452,0.00273972602739726,MATAMOROS,108.0,0.408983253921814,32504.76207,0,-0.14859231258468308,-0.15535889932036942,0.14999131297542304,-0.05131996630987648,453
