"CVEGEO","dist_gasproc_cent","nearest_gasproc_cent","n_gasproc_25km_cent","n_gasproc_50km_cent","n_gasproc_100km_cent","dist_maritime_cent","nearest_maritime_cent","n_maritime_25km_cent","n_maritime_50km_cent","n_maritime_100km_cent","dist_petrochem_cent","nearest_petrochem_cent","n_petrochem_25km_cent","n_petrochem_50km_cent","n_petrochem_100km_cent","dist_refinery_cent","nearest_refinery_cent","n_refinery_25km_cent","n_refinery_50km_cent","n_refinery_100km_cent","dist_storage_cent","nearest_storage_cent","n_storage_25km_cent","n_storage_50km_cent","n_storage_100km_cent","dist_any_cent","n_any_25km_cent","n_any_50km_cent","n_any_100km_cent","dist_gasproc_edge","nearest_gasproc_edge","n_gasproc_25km_edge","n_gasproc_50km_edge","n_gasproc_100km_edge","dist_maritime_edge","nearest_maritime_edge","n_maritime_25km_edge","n_maritime_50km_edge","n_maritime_100km_edge","dist_petrochem_edge","nearest_petrochem_edge","n_petrochem_25km_edge","n_petrochem_50km_edge","n_petrochem_100km_edge","dist_refinery_edge","nearest_refinery_edge","n_refinery_25km_edge","n_refinery_50km_edge","n_refinery_100km_edge","dist_storage_edge","nearest_storage_edge","n_storage_25km_edge","n_storage_50km_edge","n_storage_100km_edge","dist_any_edge","n_any_25km_edge","n_any_50km_edge","n_any_100km_edge","n_hosted","hosts_any"
"01005",475.336021245366,"CPG Arenque",0,0,0,370.820047359292,"TM Manzanillo",0,0,0,510.131181703943,"CP Independencia",0,0,0,198.79112823513,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,17.8176486618084,"TAR Aguascalientes",1,1,2,17.8176486618084,1,1,2,455.364057435802,"CPG Arenque",0,0,0,350.34199481952,"TM Manzanillo",0,0,0,496.575697515523,"CP Independencia",0,0,0,188.715689406409,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,6.28471575717898,"TAR Aguascalientes",1,1,2,6.28471575717898,1,1,2,0,FALSE
"01008",481.12984651579,"CPG Arenque",0,0,0,388.40859799438,"TM Manzanillo",0,0,0,530.449336763268,"CP Independencia",0,0,0,222.471626683345,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,39.1216790431607,"TAR Aguascalientes",0,1,2,39.1216790431607,0,1,2,463.811378009839,"CPG Arenque",0,0,0,372.112595906041,"TM Manzanillo",0,0,0,512.200529453026,"CP Independencia",0,0,0,202.488234401287,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,19.4082911445993,"TAR Aguascalientes",1,2,2,19.4082911445993,1,2,2,0,FALSE
"01001",460.71159990105,"CPG Arenque",0,0,0,368.340998468649,"TM Manzanillo",0,0,0,489.091546797987,"CP Independencia",0,0,0,177.899328934459,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,7.576245162427,"TAR Aguascalientes",1,1,2,7.576245162427,1,1,2,437.343111221439,"CPG Arenque",0,0,0,345.873831563628,"TM Manzanillo",0,0,0,468.399214865781,"CP Independencia",0,0,0,158.824247615483,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,0,"TAR Aguascalientes",1,1,3,0,1,1,3,1,TRUE
"01004",457.286991623438,"CPG Arenque",0,0,0,419.28221775905,"TM Manzanillo",0,0,0,525.512979426469,"CP Independencia",0,0,0,227.382184143154,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,50.1403008693876,"TAR Zacatecas",0,0,2,50.1403008693876,0,0,2,451.389614550831,"CPG Arenque",0,0,0,412.531344709497,"TM Manzanillo",0,0,0,517.191560539299,"CP Independencia",0,0,0,218.880022948008,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,40.4450160977901,"TAR Zacatecas",0,2,2,40.4450160977901,0,2,2,0,FALSE
"01011",451.603577257123,"CPG Arenque",0,0,0,392.271150230369,"TM Manzanillo",0,0,0,497.7660883913,"CP Independencia",0,0,0,193.202653049461,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,17.9172947620894,"TAR Aguascalientes",1,1,2,17.9172947620894,1,1,2,441.877266959393,"CPG Arenque",0,0,0,381.972943884139,"TM Manzanillo",0,0,0,489.74201177264,"CP Independencia",0,0,0,186.109124726723,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,7.35284633336404,"TAR Aguascalientes",1,1,2,7.35284633336404,1,1,2,0,FALSE
"01006",458.598353802636,"CPG Arenque",0,0,0,394.796107268248,"TM Manzanillo",0,0,0,508.504428906147,"CP Independencia",0,0,0,203.949215568853,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,24.7366184182369,"TAR Aguascalientes",1,1,2,24.7366184182369,1,1,2,447.298739884063,"CPG Arenque",0,0,0,382.410891377092,"TM Manzanillo",0,0,0,496.485324310894,"CP Independencia",0,0,0,193.44537439639,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,16.7361907211699,"TAR Aguascalientes",1,1,2,16.7361907211699,1,1,2,0,FALSE
"01003",501.281370723907,"CPG Arenque",0,0,0,354.920330992359,"TM Manzanillo",0,0,0,529.705550814537,"CP Independencia",0,0,0,214.337674738573,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,42.5713795744528,"TAR Aguascalientes",0,1,2,42.5713795744528,0,1,2,484.674663080367,"CPG Arenque",0,0,0,335.03074380013,"TM Manzanillo",0,0,0,507.609933603627,"CP Independencia",0,0,0,192.345071595246,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,26.7984363662142,"TAR Aguascalientes",0,1,2,26.7984363662142,0,1,2,0,FALSE
"01010",432.814708897069,"CPG Arenque",0,0,0,393.920141213407,"TM Manzanillo",0,0,0,474.525753399272,"CP Independencia",0,0,0,172.197593315641,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,26.5187401757304,"TAR Aguascalientes",0,1,2,26.5187401757304,0,1,2,412.068299690941,"CPG Arenque",0,0,0,374.946648545132,"TM Manzanillo",0,0,0,457.497899201846,"CP Independencia",0,0,0,161.230238670597,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,11.8924388305249,"TAR Aguascalientes",1,1,4,11.8924388305249,1,1,4,0,FALSE
"01002",432.131326034147,"CPG Arenque",0,0,0,411.463969065451,"TM Manzanillo",0,0,0,489.276070305801,"CP Independencia",0,0,0,192.322489148354,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,36.936273189231,"TAR Aguascalientes",0,1,2,36.936273189231,0,1,2,413.116516433748,"CPG Arenque",0,0,0,397.401577895673,"TM Manzanillo",0,0,0,465.301438780213,"CP Independencia",0,0,0,168.956031332681,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,22.7783822075657,"TAR Aguascalientes",1,1,4,22.7783822075657,1,1,4,0,FALSE
"01009",446.688979480271,"CPG Arenque",0,0,0,413.235496882938,"TM Manzanillo",0,0,0,508.615806148961,"CP Independencia",0,0,0,210.248754537657,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,40.5926212181703,"TAR Aguascalientes",0,1,2,40.5926212181703,0,1,2,439.630533639138,"CPG Arenque",0,0,0,404.010055132726,"TM Manzanillo",0,0,0,497.873926979804,"CP Independencia",0,0,0,198.383416054928,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,29.8075943188018,"TAR Aguascalientes",0,1,2,29.8075943188018,0,1,2,0,FALSE
"01007",461.907374447279,"CPG Arenque",0,0,0,408.166646053909,"TM Manzanillo",0,0,0,522.656521173211,"CP Independencia",0,0,0,221.120413530859,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,43.0580727251343,"TAR Aguascalientes",0,1,2,43.0580727251343,0,1,2,445.837504946568,"CPG Arenque",0,0,0,393.88422944706,"TM Manzanillo",0,0,0,509.66035334876,"CP Independencia",0,0,0,207.210660607524,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,28.0161011846098,"TAR Aguascalientes",0,2,2,28.0161011846098,0,2,2,0,FALSE
"02003",1882.09273228385,"CPG Burgos",0,0,0,73.3079452806648,"TM Rosarito",0,0,1,2285.91422728079,"CP Escolin",0,0,0,1759.29521667009,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,69.527705229026,"TAR Ensenada",0,0,3,69.527705229026,0,0,4,1843.0212830001,"CPG Burgos",0,0,0,34.5268123818062,"TM Rosarito",0,1,1,2249.49128352691,"CP Escolin",0,0,0,1720.77757815224,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,34.4818630193634,"TAR Rosarito",0,3,3,34.4818630193634,0,4,4,0,FALSE
"02004",1931.39417321628,"CPG Burgos",0,0,0,20.9699856588827,"TM Rosarito",1,1,1,2329.89444890867,"CP Escolin",0,0,0,1807.35664036569,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,20.9645353984554,"TAR Rosarito",1,1,2,20.9645353984554,2,2,3,1902.84296720794,"CPG Burgos",0,0,0,6.0254643671403,"TM Rosarito",1,1,1,2298.86852710037,"CP Escolin",0,0,0,1777.9913936155,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,5.68121118811998,"TAR Rosarito",1,2,2,5.68121118811998,2,3,3,0,FALSE
"02001",1830.48270029318,"CPG Burgos",0,0,0,133.793823646583,"TM Rosarito",0,0,0,2214.86379392572,"CP Escolin",0,0,0,1702.18131065248,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,65.1355520776775,"TAR Ensenada",0,0,1,65.1355520776775,0,0,1,1677.11919251806,"CPG Burgos",0,0,0,34.2487204116071,"TM Rosarito",0,1,1,1953.24795106503,"CP Independencia",0,0,0,1529.63483252586,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,0,"TAR Ensenada",1,3,3,0,1,4,4,1,TRUE
"02006",1631.82732085744,"CPG Burgos",0,0,0,387.851908801081,"TM Guaymas",0,0,0,1967.41487792234,"CP Independencia",0,0,0,1492.15517437618,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,341.58838670363,"TAR Ensenada",0,0,0,341.58838670363,0,0,0,1401.64573161264,"CPG Burgos",0,0,0,146.117500160825,"TM Guaymas",0,0,0,1725.53123310374,"CP Independencia",0,0,0,1257.72844169152,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,107.158089734424,"TAR Ensenada",0,0,0,107.158089734424,0,0,0,0,FALSE
"02007",1698.12260404887,"CPG Burgos",0,0,0,278.730132079676,"TM Rosarito",0,0,0,2071.87679406409,"CP Escolin",0,0,0,1566.3909880531,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,210.384917565392,"TAR Ensenada",0,0,0,210.384917565392,0,0,0,1569.12727009806,"CPG Burgos",0,0,0,160.638352008396,"TM Rosarito",0,0,0,1916.28448100258,"CP Independencia",0,0,0,1430.75552789232,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,92.6376037771887,"TAR Mexicali",0,0,2,92.6376037771887,0,0,2,0,FALSE
"02002",1786.25571878153,"CPG Burgos",0,0,0,165.357534967626,"TM Rosarito",0,0,0,2192.8114028234,"CP Escolin",0,0,0,1663.73548759004,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,55.4000266939684,"TAR Mexicali",0,0,1,55.4000266939684,0,0,1,1707.77394638278,"CPG Burgos",0,0,0,112.284916644569,"TM Rosarito",0,0,0,2108.92015956721,"CP Escolin",0,0,0,1583.36043791059,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,0,"TAR Mexicali",1,1,2,0,1,1,2,1,TRUE
"02005",1929.83253256794,"CPG Burgos",0,0,0,19.8708873719707,"TM Rosarito",1,1,1,2324.37148893809,"CP Escolin",0,0,0,1804.71002418266,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,20.146663716065,"TAR Rosarito",1,1,2,19.8708873719707,2,2,3,1907.80965056106,"CPG Burgos",0,0,0,0,"TM Rosarito",1,1,1,2302.62221883596,"CP Escolin",0,0,0,1782.65407785502,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,0,"TAR Rosarito",1,2,2,0,2,3,3,2,TRUE
"03002",1481.17978612249,"CPG Burgos",0,0,0,239.021614815892,"TM Guaymas",0,0,0,1744.08082584643,"CP Independencia",0,0,0,1329.92313668519,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,239.084155526892,"TAR Guaymas",0,0,0,239.021614815892,0,0,0,1301.34232998557,"CPG Burgos",0,0,0,107.813665800276,"TM Guaymas",0,0,0,1548.34477117403,"CP Independencia",0,0,0,1146.83089804148,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,107.921343274955,"TAR Guaymas",0,0,0,107.813665800276,0,0,0,0,FALSE
"03009",1305.72242096431,"CPG Burgos",0,0,0,223.051344126978,"TM Guaymas",0,0,0,1521.0417357923,"CP Independencia",0,0,0,1147.72965964278,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,223.265548966708,"TAR Guaymas",0,0,0,223.051344126978,0,0,0,1238.6184242736,"CPG Burgos",0,0,0,163.663423951713,"TM Guaymas",0,0,0,1439.08104905548,"CP Independencia",0,0,0,1078.95547394154,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,136.478642247296,"TAR La Paz",0,0,0,136.478642247296,0,0,0,0,FALSE
"03008",1185.71120793793,"CPG Burgos",0,0,0,266.128373852482,"TM Topolobampo",0,0,0,1247.96481984691,"CP Independencia",0,0,0,928.143392839388,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,111.823023546497,"TAR La Paz",0,0,0,111.823023546497,0,0,0,1149.13800624183,"CPG Burgos",0,0,0,222.404601076411,"TM Topolobampo",0,0,0,1217.47847702606,"CP Independencia",0,0,0,897.504434010613,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,76.7101550388894,"TAR La Paz",0,0,1,76.7101550388894,0,0,1,0,FALSE
"03003",1247.51920154813,"CPG Burgos",0,0,0,223.309979818067,"TM Topolobampo",0,0,0,1365.00907807643,"CP Independencia",0,0,0,1044.11027323903,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,31.4122243681016,"TAR La Paz",0,1,1,31.4122243681016,0,1,1,1165.88335491969,"CPG Burgos",0,0,0,155.826914975104,"TM Topolobampo",0,0,0,1258.44816659633,"CP Independencia",0,0,0,937.758036264694,"Refineria Ing. Antonio M. Amor (Salamanca)",0,0,0,0,"TAR La Paz",1,1,1,0,1,1,1,1,TRUE
"03001",1344.00949796285,"CPG Burgos",0,0,0,275.698820779041,"TM Topolobampo",0,0,0,1532.69307502345,"CP Independencia",0,0,0,1184.16419851278,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,214.663044719223,"TAR La Paz",0,0,0,214.663044719223,0,0,0,1234.99420478908,"CPG Burgos",0,0,0,167.135811714772,"TM Topolobampo",0,0,0,1416.39301179014,"CP Independencia",0,0,0,1073.92933929314,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,116.644623943707,"TAR La Paz",0,0,0,116.644623943707,0,0,0,0,FALSE
"04003",125.791338061569,"CPG Ciudad Pemex",0,0,0,180.216331646204,"TM Dos Bocas",0,0,0,302.353564283322,"CP Morelos",0,0,0,179.647819566666,"Refineria Olmeca (Dos Bocas)",0,0,0,163.792742494473,"TAR Villahermosa",0,0,0,125.791338061569,0,0,0,62.9818940700501,"CPG Ciudad Pemex",0,0,2,78.9403584261651,"TM Dos Bocas",0,0,1,202.941874628439,"CP Morelos",0,0,0,78.5919391212766,"Refineria Olmeca (Dos Bocas)",0,0,1,77.393783427115,"TAR Villahermosa",0,0,1,62.9818940700501,0,0,5,0,FALSE
"04007",67.7399022423585,"CPG Ciudad Pemex",0,0,1,129.605439692896,"TM Dos Bocas",0,0,0,248.032655682468,"CP Morelos",0,0,0,128.848726301332,"Refineria Olmeca (Dos Bocas)",0,0,0,105.852958905907,"TAR Villahermosa",0,0,0,67.7399022423585,0,0,1,43.808221727404,"CPG Ciudad Pemex",0,1,2,102.595533362449,"TM Dos Bocas",0,0,0,225.483756967539,"CP Morelos",0,0,0,102.056066133648,"Refineria Olmeca (Dos Bocas)",0,0,0,83.3688781407359,"TAR Villahermosa",0,0,1,43.808221727404,0,1,3,0,FALSE
"04013",369.471469174064,"CPG Ciudad Pemex",0,0,0,119.284002640846,"TM Progreso",0,0,0,512.823658524157,"CP Morelos",0,0,0,391.886511347099,"Refineria Olmeca (Dos Bocas)",0,0,0,72.5757671353535,"TAR Campeche",0,0,2,72.5757671353535,0,0,2,360.059060987539,"CPG Ciudad Pemex",0,0,0,109.580829863849,"TM Progreso",0,0,0,499.964699551821,"CP Morelos",0,0,0,379.74525109691,"Refineria Olmeca (Dos Bocas)",0,0,0,62.6394846141398,"TAR Campeche",0,0,2,62.6394846141398,0,0,2,0,FALSE
"04005",348.235553141023,"CPG Ciudad Pemex",0,0,0,136.71449575011,"TM Progreso",0,0,0,491.683138737598,"CP Morelos",0,0,0,370.548673490838,"Refineria Olmeca (Dos Bocas)",0,0,0,51.1108145902204,"TAR Campeche",0,0,1,51.1108145902204,0,0,1,324.69656763668,"CPG Ciudad Pemex",0,0,0,119.848599967692,"TM Progreso",0,0,0,459.816577776262,"CP Morelos",0,0,0,340.174575410447,"Refineria Olmeca (Dos Bocas)",0,0,0,31.7194717955369,"TAR Campeche",0,1,2,31.7194717955369,0,1,2,0,FALSE
"04004",248.655574027928,"CPG Ciudad Pemex",0,0,0,195.419641135155,"Cayo Arcas (offshore crude loading)",0,0,0,417.525797076669,"CP Morelos",0,0,0,293.177140796161,"Refineria Olmeca (Dos Bocas)",0,0,0,81.2747415184205,"TAR Campeche",0,0,1,81.2747415184205,0,0,1,182.639320225042,"CPG Ciudad Pemex",0,0,0,153.09794007902,"Cayo Arcas (offshore crude loading)",0,0,0,343.940499234037,"CP Morelos",0,0,0,219.605974480986,"Refineria Olmeca (Dos Bocas)",0,0,0,25.7531809286334,"TAR Campeche",0,1,1,25.7531809286334,0,1,1,0,FALSE
"04011",186.74592345926,"CPG Ciudad Pemex",0,0,0,263.794962620544,"TM Dos Bocas",0,0,0,380.431294892085,"CP Morelos",0,0,0,263.037930951093,"Refineria Olmeca (Dos Bocas)",0,0,0,194.281425534995,"TAR Campeche",0,0,0,186.74592345926,0,0,0,122.142933993668,"CPG Ciudad Pemex",0,0,0,200.893171559125,"TM Dos Bocas",0,0,0,315.874572673028,"CP Morelos",0,0,0,200.077271542571,"Refineria Olmeca (Dos Bocas)",0,0,0,148.316957965301,"TAR Campeche",0,0,0,122.142933993668,0,0,0,0,FALSE
