layer,facility_name,state,municipality_city,lat,lon,coord_precision,notes
Refinery,Refineria Ing. Hector R. Lara Sosa (Cadereyta),Nuevo Leon,Cadereyta Jimenez,25.6,-99.961,facility,
Refinery,Refineria Francisco I. Madero,Tamaulipas,Ciudad Madero,22.2703,-97.8064,facility,Coords per Wikipedia
Refinery,Refineria Miguel Hidalgo (Tula),Hidalgo,Tula de Allende,20.044,-99.29,facility,
Refinery,Refineria Ing. Antonio M. Amor (Salamanca),Guanajuato,Salamanca,20.579,-101.184,facility,
Refinery,Refineria Gral. Lazaro Cardenas (Minatitlan),Veracruz,Minatitlan,17.985,-94.545,facility,
Refinery,Refineria Ing. Antonio Dovali Jaime (Salina Cruz),Oaxaca,Salina Cruz,16.185,-95.187,facility,
Refinery,Refineria Olmeca (Dos Bocas),Tabasco,Paraiso,18.426,-93.184,facility,Newest refinery; not on all Pemex map versions
Refinery,Pemex Deer Park,Texas (USA),Deer Park,29.7196,-95.132,facility,"Coords per Wikipedia; outside Mexico, integrated in supply balance"
Gas processing complex (CPG),CPG Cactus,Chiapas,Reforma,17.938,-93.19,facility_approx,
Gas processing complex (CPG),CPG Nuevo Pemex,Tabasco,Reforma/Villahermosa corridor,17.917,-92.983,facility_approx,
Gas processing complex (CPG),CPG Ciudad Pemex,Tabasco,Macuspana,17.883,-92.467,facility_approx,
Gas processing complex (CPG),CPG La Venta,Tabasco,Huimanguillo,18.098,-94.04,facility_approx,
Gas processing complex (CPG),CPG Area Coatzacoalcos,Veracruz,Coatzacoalcos (Pajaritos corridor),18.13,-94.4,facility_approx,
Gas processing complex (CPG),CPG Matapionche,Veracruz,Cotaxtla,18.86,-96.15,municipal,Verify before precise spatial joins
Gas processing complex (CPG),CPG Poza Rica,Veracruz,Poza Rica,20.545,-97.445,facility_approx,
Gas processing complex (CPG),CPG Arenque,Tamaulipas,Ciudad Madero,22.263,-97.836,facility_approx,Adjacent to Madero refinery zone
Gas processing complex (CPG),CPG Burgos,Tamaulipas,Reynosa,26.0,-98.35,municipal,SW of Reynosa; verify before precise spatial joins
Petrochemical complex,CP La Cangrejera,Veracruz,Coatzacoalcos,18.104,-94.335,facility_approx,
Petrochemical complex,CP Morelos,Veracruz,Coatzacoalcos,18.113,-94.315,facility_approx,
Petrochemical complex,CP Pajaritos,Veracruz,Coatzacoalcos,18.128,-94.39,facility_approx,Operated with Mexichem JV in some years
Petrochemical complex,CP Cosoleacaque,Veracruz,Cosoleacaque,17.99,-94.603,facility_approx,
Petrochemical complex,CP Independencia,Puebla,San Martin Texmelucan,19.271,-98.435,facility_approx,
Petrochemical complex,CP Escolin,Veracruz,Poza Rica,20.517,-97.441,facility_approx,
Marine terminal,TM Pajaritos,Veracruz,Coatzacoalcos,18.135,-94.387,facility_approx,
Marine terminal,TM Dos Bocas,Tabasco,Paraiso,18.435,-93.19,facility_approx,Crude export
Marine terminal,TM Salina Cruz,Oaxaca,Salina Cruz,16.166,-95.196,facility_approx,Pacific crude/products
Marine terminal,TM Tuxpan,Veracruz,Tuxpan,20.965,-97.318,facility_approx,Main products import for Valley of Mexico
Marine terminal,TM Veracruz,Veracruz,Veracruz,19.207,-96.13,facility_approx,
Marine terminal,TM Progreso,Yucatan,Progreso,21.283,-89.665,facility_approx,
