state,state_code,capital,latitude,longitude
Aguascalientes,AGU,Aguascalientes,21.8853,-102.2916
Baja California,BCN,Mexicali,32.6245,-115.4523
Baja California Sur,BCS,La Paz,24.1426,-110.3128
Campeche,CAM,San Francisco de Campeche,19.8301,-90.5349
Chiapas,CHP,Tuxtla Gutiérrez,16.7516,-93.1029
Chihuahua,CHH,Chihuahua,28.6353,-106.0889
Ciudad de México,CMX,Ciudad de México,19.4326,-99.1332
Coahuila,COA,Saltillo,25.4260,-101.0053
Colima,COL,Colima,19.2452,-103.7241
Durango,DUR,Victoria de Durango,24.0277,-104.6532
Guanajuato,GUA,Guanajuato,21.0190,-101.2574
Guerrero,GRO,Chilpancingo de los Bravo,17.5506,-99.5024
Hidalgo,HID,Pachuca de Soto,20.1011,-98.7591
Jalisco,JAL,Guadalajara,20.6597,-103.3496
México,MEX,Toluca de Lerdo,19.2926,-99.6569
Michoacán,MIC,Morelia,19.7008,-101.1844
Morelos,MOR,Cuernavaca,18.9242,-99.2216
Nayarit,NAY,Tepic,21.5041,-104.8946
Nuevo León,NLE,Monterrey,25.6866,-100.3161
Oaxaca,OAX,Oaxaca de Juárez,17.0732,-96.7266
Puebla,PUE,Puebla de Zaragoza,19.0414,-98.2063
Querétaro,QUE,Santiago de Querétaro,20.5888,-100.3899
Quintana Roo,ROO,Chetumal,18.5001,-88.2960
San Luis Potosí,SLP,San Luis Potosí,22.1565,-100.9855
Sinaloa,SIN,Culiacán Rosales,24.8091,-107.3940
Sonora,SON,Hermosillo,29.0729,-110.9559
Tabasco,TAB,Villahermosa,17.9892,-92.9281
Tamaulipas,TAM,Ciudad Victoria,23.7369,-99.1411
Tlaxcala,TLA,Tlaxcala de Xicohténcatl,19.3182,-98.2375
Veracruz,VER,Xalapa-Enríquez,19.5438,-96.9102
Yucatán,YUC,Mérida,20.9674,-89.5926
Zacatecas,ZAC,Zacatecas,22.7709,-102.5832
