"CVEGEO","NOMGEO","homicidios_total","robos_total","n_inseguro_popw"
"01005","Jesús María",15,16,48465.88493
"01008","San José de Gracia",1,1,NA
"01001","Aguascalientes",40.9999999999998,46.9999999999999,264703.231
"01004","Cosío",2,6.99999999999999,NA
"01011","San Francisco de los Romo",5,5,18028.05971
"01006","Pabellón de Arteaga",7.99999999999997,3,18977.92383
"01003","Calvillo",0,2,14514.80605
"01010","El Llano",3.99999999999998,2,5945.389875
"01002","Asientos",3,10,20111.86968
"01009","Tepezalá",1,1,NA
"01007","Rincón de Romos",5.99999999999998,2,21933.69174
"02003","Tecate",58.9999999999999,26,52720.2135
"02004","Tijuana",1073,556.999999999999,1012248.123
"02001","Ensenada",93.9999999999998,52.9999999999997,219840.2153
"02006","San Quintín",50,5.99999999999998,48279.41006
"02007","San Felipe",26,0,NA
"02002","Mexicali",174,199,518145.6518
"02005","Playas de Rosarito",54,34,31899.62976
"03002","Mulegé",15,1,19597.19465
"03009","Loreto",19,0,3545.73886
"03008","Los Cabos",21,5.99999999999998,77779.14018
"03003","La Paz",15,5.99999999999998,66914.68067
"03001","Comondú",42.9999999999999,1,17426.01162
"04003","Carmen",26,3,118215.2575
"04007","Palizada",1,0,3097.511628
"04013","Dzitbalché",1,0,NA
"04005","Hecelchakán",1,0,12196.71541
"04004","Champotón",17,2,37736.6081
"04011","Candelaria",11,1,18739.13108
"04012","Seybaplaya",5.99999999999998,0,6344.021824
"04002","Campeche",24,1,135011.9563
"04006","Hopelchén",1,0,12115.87957
"04001","Calkiní",1,0,23887.4634
"04010","Calakmul",5.99999999999998,1,10582.82452
"04009","Escárcega",5.99999999999998,0,26721.86405
"04008","Tenabo",0,1,4020.05822
"05005","Candela",0,0,NA
"05017","Matamoros",2,1,32504.76207
"05018","Monclova",5,0,53254.96925
"05014","Jiménez",0,0,NA
"05035","Torreón",16,35,223177.5609
"05013","Hidalgo",1,0,NA
"05015","Juárez",0,0,NA
"05020","Múzquiz",5,0,29983.9802
"05024","Parras",0,0,3689.258865
"05026","Progreso",0,0,NA
"05027","Ramos Arizpe",3,0,26681.84158
"05025","Piedras Negras",13,2,28902.26213
"05028","Sabinas",1,0,18596.10083
"05030","Saltillo",13,3,221044.3905
"05031","San Buenaventura",0,0,NA
"05016","Lamadrid",0,0,NA
"05004","Arteaga",1,0,9596.70775
"05002","Acuña",3.99999999999998,2,10327.45313
"05032","San Juan de Sabinas",1,0,8470.409421
"05033","San Pedro",3,0,36991.94378
"05009","Francisco I. Madero",0,0,19039.02703
"05012","Guerrero",0,0,NA
"05006","Castaños",1,1,6621.142587
"05003","Allende",0,0,2003.557277
"05023","Ocampo",0,0,NA
"05008","Escobedo",0,0,NA
"05022","Nava",3,0,6089.791721
"05019","Morelos",0,0,NA
"05007","Cuatro Ciénegas",0,0,NA
"05034","Sierra Mojada",0,0,NA
"05037","Villa Unión",0,0,NA
"05029","Sacramento",0,0,NA
"05001","Abasolo",0,0,68.81621725
"05038","Zaragoza",0,0,NA
"05021","Nadadores",1,0,NA
"05010","Frontera",2,0,16137.71131
"05011","General Cepeda",0,0,NA
"05036","Viesca",1,0,5282.070384
"06006","Ixtlahuacán",0,0,2307.841391
"06002","Colima",138,0,93724.55725
"06005","Cuauhtémoc",29,0,14935.58968
"06008","Minatitlán",2,0,3902.235607
"06001","Armería",20,0,13055.05493
"06004","Coquimatlán",12,0,11133.75382
"06010","Villa de Álvarez",89.9999999999998,0,82369.17279
"06003","Comala",11,0,10062.1324
"06007","Manzanillo",241,0,101536.0115
"06009","Tecomán",14,0,56593.38341
"07019","Comitán de Domínguez",5,5.99999999999998,68944.78119
"07090","Tapalapa",0,0,1981.185178
"07020","La Concordia",1,1,NA
"07021","Copainalá",0,0,8431.94964
"07079","San Fernando",1,1,18642.40317
"07109","Yajalón",0,1,10258.14135
"07108","Villaflores",7.99999999999997,3,61824.31178
"07107","Villa Corzo",7.99999999999997,1,NA
"07106","Venustiano Carranza",1,0,26664.54207
"07104","Tzimol",0,1,NA
"07103","Tuzantán",5.99999999999998,2,NA
"07102","Tuxtla Chico",7.99999999999997,0,17825.9932
"07101","Tuxtla Gutiérrez",21,19,310161.2246
"07120","Capitán Luis Ángel Vidal",0,0,NA
"07074","Reforma",5,3.99999999999998,25499.51328
"07075","Las Rosas",1,1,NA
"07057","Motozintla",3,0,NA
"07007","Amatenango del Valle",0,1,NA
"07111","Zinacantán",1,0,3847.026964
"07054","Mazatán",2,3.99999999999998,NA
"07076","Sabanilla",1,0,NA
"07081","Simojovel",0,0,12353.31245
"07063","Osumacinta",0,0,NA
"07110","San Lucas",0,0,1783.477728
"07051","Mapastepec",8.99999999999998,8.99999999999998,23821.09799
"07070","El Porvenir",0,0,NA
"07112","San Juan Cancuc",0,0,5649.336272
"07050","La Libertad",1,0,NA
"07022","Chalchihuitán",2,0,2298.907134
"07053","Mazapa de Madero",0,2,NA
"07080","Siltepec",0,0,NA
"07049","Larráinzar",0,0,NA
"07065","Palenque",8.99999999999998,5.99999999999998,64677.02335
"07086","Suchiapa",1,2,NA
"07062","Ostuacán",0,2,9729.153693
"07077","Salto de Agua",0,0,15988.58299
"07082","Sitalá",1,0,NA
"07024","Chanal",1,0,NA
"07121","Rincón Chamula San Pedro",1,0,NA
"07042","Ixhuatán",0,0,NA
"07025","Chapultenango",0,0,NA
"07018","Coapilla",0,0,NA
"07052","Las Margaritas",0,0,24943.52838
"07026","Chenalhó",2,0,NA
"07083","Socoltenango",0,1,5083.019517
"07084","Solosuchiapa",2,1,2854.567428
"07089","Tapachula",45.9999999999997,12,196856.4989
"07068","Pichucalco",3,0,13949.71398
"07027","Chiapa de Corzo",5,12,42220.33089
"07048","Juárez",0,3,7604.603571
