"CVEGEO","NOMGEO","IM_2020","no_IM_2020","IE","no_IE","TCVCU","no_TCVCU","ICE","no_ICE"
"01005","Jesús María",59.0117616967172,0,2.75781608379255,0,10,0,15.1729385754242,0
"01008","San José de Gracia",57.5275305589345,0,0.624207521402268,0,30,0,12.4137949055722,0
"01001","Aguascalientes",60.3187950417198,0,30.8020861784098,0,2,0,43.7107582186412,0
"01004","Cosío",57.1140301001378,0,0.318518010974823,0,25,0,12.0805169328652,0
"01011","San Francisco de los Romo",58.5520978333435,0,0.96689260958704,0,13,0,13.2204546736914,0
"01006","Pabellón de Arteaga",58.6247678266779,0,1.4093189850798,0,13,0,13.7053198388586,0
"01003","Calvillo",57.0582509369582,0,1.39730360566126,0,42,0,12.8998199114841,0
"01010","El Llano",56.5557942161932,0,0.294801192191385,0,34,0,11.8244596029952,0
"01002","Asientos",56.546071016613,0,0.93842299966362,0,31,0,12.4901240242734,0
"01009","Tepezalá",56.6043143837497,0,0.369957877064211,0,25,0,12.0150520914024,0
"01007","Rincón de Romos",57.6466713495514,0,1.50886090049538,0,17,0,13.5177770897262,0
"02003","Tecate",58.3900774399861,0,1.4615110412192,0,27,0,13.5387989316942,0
"02004","Tijuana",59.1402868170204,0,16.9772403259977,0,1,0,29.4691908137105,0
"02001","Ensenada",58.082237567032,0,6.85565096109204,0,10,0,19.0765040290535,0
"02006","San Quintín",53.3990400136774,0,1.49611505622349,0,151,0,11.0260617327473,0
"02007","San Felipe",0,1,0,1,0,1,0,1
"02002","Mexicali",59.3849890945595,0,12.693365907826,0,6,0,25.2357584903826,0
"02005","Playas de Rosarito",58.291417465293,0,1.58902095787423,0,5,0,13.9072281685734,0
"03002","Mulegé",57.4925673102967,0,3.31810146893711,0,373,0,10.9366994349948,0
"03009","Loreto",58.8193122984084,0,1.57969112559139,0,199,0,11.6448205160163,0
"03008","Los Cabos",58.7357270060101,0,13.7918019581802,0,2,0,26.3533516661991,0
"03003","La Paz",59.8532531027085,0,17.6272807715745,0,9,0,30.3266989870977,0
"03001","Comondú",58.2638228268869,0,5.01567622314485,0,100,0,16.1549327227523,0
"04003","Carmen",58.0950832846142,0,12.4635401244791,0,12,0,24.6794751136633,0
"04007","Palizada",52.7603020275498,0,0.525088803847485,0,97,0,10.587390546288,0
"04013","Dzitbalché",0,1,0,1,0,1,0,1
"04005","Hecelchakán",55.6860046589221,0,1.18574636529213,0,40,0,12.4566994534095,0
"04004","Champotón",54.8325989080778,0,2.84701434813821,0,37,0,13.9475061571279,0
"04011","Candelaria",50.5139363387235,0,1.31010396557978,0,102,0,10.7058693623174,0
"04012","Seybaplaya",55.8783319762054,0,0.672992577408705,0,25,0,12.1941464019389,0
"04002","Campeche",58.6407010357592,0,14.603469392039,0,6,0,26.9923795716143,0
"04006","Hopelchén",53.6026514197597,0,0.920492619935305,0,100,0,10.9163056787103,0
"04001","Calkiní",55.3812819245503,0,2.66139283334867,0,44,0,13.8217037918791,0
"04010","Calakmul",50.7093716101968,0,0.973909377660708,0,111,0,10.3974873992626,0
"04009","Escárcega",54.8902956416295,0,2.72100165476694,0,55,0,13.5844570084835,0
"04008","Tenabo",55.1820078528213,0,0.44783723898734,0,32,0,11.6811481186643,0
"05005","Candela",55.9194917338476,0,0.0781299432894041,0,73,0,10.988387497953,0
"05017","Matamoros",58.1804004142075,0,1.02644666254291,0,17,0,13.1399696112378,0
"05018","Monclova",60.4768300568519,0,3.53515263048241,0,0,0,16.4540042888675,0
"05014","Jiménez",55.4032123875801,0,0.0846764746986664,0,38,0,11.220230908956,0
"05035","Torreón",60.2884207175746,0,11.3123635893373,0,1,0,24.1261400080298,0
"05013","Hidalgo",56.0716090813527,0,0.0334225382710733,0,55,0,11.1841410806162,0
"05015","Juárez",56.6770026083266,0,0.0407276876324735,0,68,0,11.1633844372336,0
"05020","Múzquiz",58.9049613636146,0,0.881984615147891,0,41,0,12.8600845080716,0
"05024","Parras",57.9477297945311,0,0.993868975650687,0,46,0,12.7199067724431,0
"05026","Progreso",56.4638302346,0,0.0364462718794471,0,55,0,11.2520888773347,0
"05027","Ramos Arizpe",60.1650088427359,0,1.2316859805502,0,3,0,14.0241163896109,0
"05025","Piedras Negras",59.2727558881289,0,2.51395783196297,0,0,0,15.0747294107397,0
"05028","Sabinas",59.7511520314129,0,1.0814002386672,0,30,0,13.4218584397802,0
"05030","Saltillo",60.7375040578758,0,9.82822608238011,0,1,0,22.8169364838037,0
"05031","San Buenaventura",59.9613705887526,0,0.371488829287197,0,20,0,12.889212339583,0
"05016","Lamadrid",57.3261855621437,0,0.0453223973232219,0,49,0,11.5841061808453,0
"05004","Arteaga",58.0449869593202,0,0.224933243655647,0,28,0,12.2211406211248,0
"05002","Acuña",58.4817122918216,0,2.06242331421528,0,0,0,14.4027614129727,0
"05032","San Juan de Sabinas",59.7579886590898,0,0.633743614575695,0,34,0,12.912430595534,0
"05033","San Pedro",57.059406535828,0,1.16155882622159,0,26,0,12.9297445883927,0
"05009","Francisco I. Madero",57.8246734818765,0,0.673002536994696,0,18,0,12.6845698151516,0
"05012","Guerrero",55.6679087962824,0,0.0420294785725025,0,52,0,11.1554124637832,0
"05006","Castaños",59.3106239603317,0,0.400925837294167,0,10,0,12.8960428413691,0
"05003","Allende",59.7938289954527,0,0.34147383568209,0,25,0,12.7440838707847,0
"05023","Ocampo",55.1278959758259,0,0.13093596970413,0,139,0,10.0890150910912,0
"05008","Escobedo",56.4434939150664,0,0.0246722530176472,0,40,0,11.4961749169463,0
"05022","Nava",58.9554821241229,0,0.383291615085197,0,17,0,12.6449453760646,0
"05019","Morelos",59.4673507022789,0,0.0853243842620625,0,27,0,12.3784146085106,0
"05007","Cuatro Ciénegas",57.220514347307,0,0.316542962422082,0,61,0,11.721505220163,0
"05034","Sierra Mojada",57.9045374458784,0,0.12562880002345,0,152,0,10.594536056499,0
"05037","Villa Unión",58.337700821595,0,0.0911738715734577,0,41,0,11.9145887353796,0
"05029","Sacramento",57.4433073588306,0,0.0704381727128219,0,42,0,11.7451187463779,0
"05001","Abasolo",57.8201477198815,0,0.0285561600080079,0,36,0,11.8472394616674,0
"05038","Zaragoza",57.7682332789898,0,0.207754547063282,0,31,0,12.0002925952419,0
"05021","Nadadores",57.7527937612693,0,0.0786868518240433,0,27,0,12.0191496200924,0
"05010","Frontera",60.0842709636714,0,0.898045680052194,0,5,0,13.6394109538218,0
"05011","General Cepeda",57.1210015864091,0,0.199779189728256,0,54,0,11.6218448036176,0
"05036","Viesca",54.8588292288359,0,0.148644583276025,0,44,0,11.2189344174892,0
"06006","Ixtlahuacán",55.0289760226252,0,0.344111451407984,0,36,0,11.4979091980789,0
"06002","Colima",59.7711755354347,0,14.0534566942783,0,2,0,26.8232335279893,0
