CVEGEO,NOMGEO,homicidio_doloso_2025,robo_veh_violencia_2025,n_inseguro_popw,tdpa_avg,no_tdpa_avg,punto_generador_count,no_punto_generador_count,m_avg,no_m_avg,a_avg,no_a_avg,b_avg,no_b_avg,c2_avg,no_c2_avg,c3_avg,no_c3_avg,t3s2_avg,no_t3s2_avg,t3s3_avg,no_t3s3_avg,t3s2r4_avg,no_t3s2r4_avg,otros_avg,no_otros_avg,aa_avg,no_aa_avg,bb_avg,no_bb_avg,cc_avg,no_cc_avg,IM_2020,no_IM_2020,IE,no_IE,TCVCU,no_TCVCU,ICE,no_ICE,VIVPAR_HAB,no_VIVPAR_HAB,POBTOT,no_POBTOT,pct_VPH_SINTIC,no_pct_VPH_SINTIC,pct_VPH_C_ELEC,no_pct_VPH_C_ELEC,pct_VPH_AGUADV,no_pct_VPH_AGUADV,pct_VPH_PISODT,no_pct_VPH_PISODT,pct_VPH_PISOTI,no_pct_VPH_PISOTI,pct_VPH_1CUART,no_pct_VPH_1CUART,n_schools_avg,no_n_schools_avg,pct_con_bebederos,no_pct_con_bebederos,pct_con_proteccion_civil,no_pct_con_proteccion_civil,pct_con_cancha,no_pct_con_cancha,avg_anio_creacion,no_avg_anio_creacion,km_carretera_fed,km_carretera_est,km_cuota,km_camino,km_vereda,km_vialidad_urbana,km_total,n_federal_offices,no_n_federal_offices,n_aerodromes,no_n_aerodromes,n_heliports,no_n_heliports,has_aerodrome,has_heliport,serv_dre,no_serv_dre,dren_cab,no_dren_cab,dren_plu,no_dren_plu,tot_conx,no_tot_conx,prest_nu,no_prest_nu,n_sites_total,n_aduana,n_puerto,n_puerto_fronterizo,n_terminal_multimodal,n_estacion_ferrocarril,n_zona_industrial,n_almacen,n_zona_libre,n_aeropuerto,n_aeropuerto_internacional,n_pista_aerea,n_muelle_embarcadero,n_terminal_transbordador,n_central_camionera,n_estacion_pesaje,n_caseta_inspeccion,n_estacion_combustible,n_estacion_policia,n_oficina_gobierno,n_palacio_gobierno,n_palacio_justicia,n_estacion_bomberos,n_hospital,n_emergencia_medica,n_primeros_auxilios,n_universidad,n_centro_investigacion,n_atractivo_turistico,n_hotel_motel,n_museo,n_monumento_historico,n_centro_cultural,n_centro_convenciones,n_lugar_esparcimiento,n_mirador,n_parque_diversiones,n_parque_animal,n_campo_golf,n_restaurante,n_balneario,n_ex_hacienda,n_presa_turistica,n_area_natural_protegida,n_zona_arqueologica,n_lago_laguna,n_cascada,n_pueblo_magico,n_cenote,n_gruta,n_ruinas,n_teleferico_funicular,n_museo_historia,n_museo_arte,n_museo_ciencia,n_museo_ninos,n_turismo_historico,n_turismo_natural,n_turismo_cultural,n_turismo_recreativo,n_turismo_total,has_aduana,has_puerto,has_puerto_fronterizo,has_aeropuerto,has_aeropuerto_internacional,has_estacion_ferrocarril,has_terminal_multimodal,has_zona_industrial,has_atractivo_turistico,has_hotel,has_tourism,dist_gasproc_cent,nearest_gasproc_cent,n_gasproc_25km_cent,n_gasproc_50km_cent,n_gasproc_100km_cent,dist_maritime_cent,nearest_maritime_cent,n_maritime_25km_cent,n_maritime_50km_cent,n_maritime_100km_cent,dist_petrochem_cent,nearest_petrochem_cent,n_petrochem_25km_cent,n_petrochem_50km_cent,n_petrochem_100km_cent,dist_refinery_cent,nearest_refinery_cent,n_refinery_25km_cent,n_refinery_50km_cent,n_refinery_100km_cent,dist_storage_cent,nearest_storage_cent,n_storage_25km_cent,n_storage_50km_cent,n_storage_100km_cent,dist_any_cent,n_any_25km_cent,n_any_50km_cent,n_any_100km_cent,dist_gasproc_edge,nearest_gasproc_edge,n_gasproc_25km_edge,n_gasproc_50km_edge,n_gasproc_100km_edge,dist_maritime_edge,nearest_maritime_edge,n_maritime_25km_edge,n_maritime_50km_edge,n_maritime_100km_edge,dist_petrochem_edge,nearest_petrochem_edge,n_petrochem_25km_edge,n_petrochem_50km_edge,n_petrochem_100km_edge,dist_refinery_edge,nearest_refinery_edge,n_refinery_25km_edge,n_refinery_50km_edge,n_refinery_100km_edge,dist_storage_edge,nearest_storage_edge,n_storage_25km_edge,n_storage_50km_edge,n_storage_100km_edge,dist_any_edge,n_any_25km_edge,n_any_50km_edge,n_any_100km_edge,n_hosted,hosts_any,km_ferrocarril_total,km_ferrocarril_operacion,km_ferrocarril_sin_uso,km_ferrocarril_carga,km_ferrocarril_pasajeros,km_ferrocarril_carga_pasajeros,km_ferrocarril_inactivo,km_ferromex,km_kcs_mexico,km_ferrosur,km_tren_maya,km_istmo_tehuantepec,km_coahuila_durango,km_ferrorvalle,km_tijuana_tecate,km_jalisco,km_mexico_toluca,km_ferrocarril_suburbano,km_puebla,km_sin_concesion,has_ferrocarril,has_ferrocarril_operacion,has_ferrocarril_carga,has_ferrocarril_pasajeros,has_ferrocarril_carga_pasajeros
01001,Aguascalientes,40.99999999999976,46.99999999999992,264703.231,11298.763489208632,0,30.0,0,2.9176258992805755,0,80.98696043165468,0,2.227787769784173,0,6.395593525179856,0,2.0016187050359715,0,2.974370503597122,0,1.0703237410071942,0,1.0571043165467626,0,0.368615107913669,0,83.90458633093525,0,2.227787769784173,0,13.867625899280576,0,60.3187950417198,0,30.8020861784098,0,2,0,43.7107582186412,0,257719,0,948990,0,0.0028364226153291,0,1.03129765364603,0,1.02915190575782,0,1.02694019455298,0,0.0059366984972004,0,0.0123584213814271,0,25.3333333333333,0,0.55926105586547,0,0.473643786886571,0,0.717438758185787,0,1978.16177540626,0,137.033407570912,243.822890225708,2.10033047604119,459.437409492023,0.0,1873.54864406571,3004.86687321028,133,0,0,0,1,0,0,1,1.0,0,98.35,0,2.0,0,347981,0,1.0,0,266,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,3,127,1,10,2,1,1,29,0,0,37,0,8,0,4,2,2,1,5,0,2,0,2,0,2,3,1,0,1,0,0,0,0,0,0,0,1,2,0,1,4,1,8,11,26,0,0,0,1,1,0,0,0,1,0,1,460.71159990105,CPG Arenque,0,0,0,368.340998468649,TM Manzanillo,0,0,0,489.091546797987,CP Independencia,0,0,0,177.899328934459,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,7.576245162427,TAR Aguascalientes,1,1,2,7.576245162427,1,1,2,437.343111221439,CPG Arenque,0,0,0,345.873831563628,TM Manzanillo,0,0,0,468.399214865781,CP Independencia,0,0,0,158.824247615483,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,0.0,TAR Aguascalientes,1,1,3,0.0,1,1,3,1,True,47.835129,47.835129,0.0,47.835129,0.0,0.0,0.0,35.183526,12.651603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
01002,Asientos,2.9999999999999996,10.0,20111.86968,4616.6746411483255,0,10.0,0,5.1947368421052635,0,80.87464114832535,0,1.8784688995215313,0,8.316267942583732,0,1.4086124401913875,0,1.5732057416267944,0,0.3942583732057416,0,0.1267942583732057,0,0.2330143540669856,0,86.06937799043062,0,1.8784688995215313,0,12.052153110047849,0,56.546071016613,0,0.93842299966362,0,31,0,12.4901240242734,0,12530,0,51536,0,0.0141260973663208,0,0.99122106943336,0,0.988826815642458,0,0.984038308060654,0,0.0146847565841979,0,0.0388667198723065,0,14.3333333333333,0,0.219096334185848,0,0.325660699062234,0,0.510940608127309,0,1975.17845978971,0,36.7385844948835,130.400787064781,0.0,201.726355452094,0.0,30.652053353709,410.013173938625,13,0,0,1,0,1,0,0,1.0,0,85.0,0,2.0,0,13800,0,1.0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,432.131326034147,CPG Arenque,0,0,0,411.463969065451,TM Manzanillo,0,0,0,489.276070305801,CP Independencia,0,0,0,192.322489148354,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,36.936273189231,TAR Aguascalientes,0,1,2,36.936273189231,0,1,2,413.116516433748,CPG Arenque,0,0,0,397.401577895673,TM Manzanillo,0,0,0,465.301438780213,CP Independencia,0,0,0,168.956031332681,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,22.7783822075657,TAR Aguascalientes,1,1,4,22.7783822075657,1,1,4,0,False,22.680147,22.680147,0.0,22.680147,0.0,0.0,0.0,0.0,22.680147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
01003,Calvillo,0.0,2.0,14514.80605,4997.627659574468,0,11.0,0,2.532978723404255,0,88.26329787234043,0,0.7425531914893617,0,6.201063829787234,0,0.8356382978723403,0,0.9606382978723405,0,0.2627659574468085,0,0.0909574468085106,0,0.1101063829787234,0,90.79627659574469,0,0.7425531914893617,0,8.461170212765957,0,57.0582509369582,0,1.39730360566126,0,42,0,12.8998199114841,0,15462,0,58250,0,0.0089251067132324,0,0.995860820075023,0,0.993661880739878,0,0.991850989522701,0,0.0112533954210322,0,0.0289095847885138,0,14.0,0,0.164141414141414,0,0.194444444444444,0,0.618686868686869,0,1986.75126262626,0,35.5844182263532,79.6647067618165,0.0,394.006288677031,0.383861436300211,56.4505427020839,574.066725706279,154,0,0,1,0,1,0,0,1.0,0,0.0,1,2.0,0,19790,0,1.0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,0,0,1,0,1,3,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,1,2,1,2,8,0,0,0,0,0,0,0,0,1,0,1,501.281370723907,CPG Arenque,0,0,0,354.920330992359,TM Manzanillo,0,0,0,529.705550814537,CP Independencia,0,0,0,214.337674738573,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,42.5713795744528,TAR Aguascalientes,0,1,2,42.5713795744528,0,1,2,484.674663080367,CPG Arenque,0,0,0,335.03074380013,TM Manzanillo,0,0,0,507.609933603627,CP Independencia,0,0,0,192.345071595246,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,26.7984363662142,TAR Aguascalientes,0,1,2,26.7984363662142,0,1,2,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
01004,Cosío,2.0,6.999999999999991,,6973.5395683453235,0,3.0,0,3.2007194244604316,0,68.9546762589928,0,4.27410071942446,0,6.71726618705036,0,2.131654676258993,0,8.29496402877698,0,2.3338129496402877,0,3.4244604316546763,0,0.6683453237410072,0,72.15539568345324,0,4.27410071942446,0,23.570503597122304,0,57.1140301001378,0,0.318518010974823,0,25,0,12.0805169328652,0,3933,0,17000,0,0.0127129417747267,0,0.993135011441648,0,0.99160945842868,0,0.98932112890923,0,0.0101703534197813,0,0.030511060259344,0,5.5,0,0.732142857142857,0,0.196428571428571,0,0.714285714285714,0,1968.67857142857,0,23.8696642082431,37.509973921453,0.0,68.3722974625511,0.0,43.0436756334453,185.919289160722,6,0,0,1,0,1,0,0,1.0,0,98.0,0,2.0,0,4670,0,1.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.286991623438,CPG Arenque,0,0,0,419.28221775905,TM Manzanillo,0,0,0,525.512979426469,CP Independencia,0,0,0,227.382184143154,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,50.1403008693876,TAR Zacatecas,0,0,2,50.1403008693876,0,0,2,451.389614550831,CPG Arenque,0,0,0,412.531344709497,TM Manzanillo,0,0,0,517.191560539299,CP Independencia,0,0,0,218.880022948008,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,40.4450160977901,TAR Zacatecas,0,2,2,40.4450160977901,0,2,2,0,False,19.162775,19.162775,0.0,19.162775,0.0,0.0,0.0,19.162775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
01005,Jesús María,15.0,15.999999999999975,48465.88493,11065.40459770115,0,16.0,0,2.894712643678161,0,83.05701149425288,0,1.4942528735632183,0,6.701379310344827,0,1.8448275862068968,0,2.225287356321839,0,0.9551724137931036,0,0.5793103448275863,0,0.2480459770114942,0,85.95172413793104,0,1.4942528735632183,0,12.554022988505746,0,59.0117616967172,0,2.75781608379255,0,10,0,15.1729385754242,0,32267,0,129929,0,0.0045867294759351,0,1.02200390491834,0,1.01791303808845,0,1.01400811975083,0,0.0127374717203335,0,0.0245761923947067,0,10.6666666666667,0,0.180995475113122,0,0.161387631975867,0,0.567873303167421,0,1980.24585218703,0,67.8975411583402,86.7007404204553,25.3657202193114,222.79821151281,0.0,310.23886143148,762.100377143129,9,0,0,1,0,1,0,0,1.0,0,96.0,0,1.0,0,37015,0,1.0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,475.336021245366,CPG Arenque,0,0,0,370.820047359292,TM Manzanillo,0,0,0,510.131181703943,CP Independencia,0,0,0,198.79112823513,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,17.8176486618084,TAR Aguascalientes,1,1,2,17.8176486618084,1,1,2,455.364057435802,CPG Arenque,0,0,0,350.34199481952,TM Manzanillo,0,0,0,496.575697515523,CP Independencia,0,0,0,188.715689406409,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,6.28471575717898,TAR Aguascalientes,1,1,2,6.28471575717898,1,1,2,0,False,2.835592,2.835592,0.0,2.835592,0.0,0.0,0.0,2.835592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
01005,Jesús María,15.0,15.999999999999975,48465.88493,11065.40459770115,0,16.0,0,2.894712643678161,0,83.05701149425288,0,1.4942528735632183,0,6.701379310344827,0,1.8448275862068968,0,2.225287356321839,0,0.9551724137931036,0,0.5793103448275863,0,0.2480459770114942,0,85.95172413793104,0,1.4942528735632183,0,12.554022988505746,0,59.0117616967172,0,2.75781608379255,0,10,0,15.1729385754242,0,32267,0,129929,0,0.0045867294759351,0,1.02200390491834,0,1.01791303808845,0,1.01400811975083,0,0.0127374717203335,0,0.0245761923947067,0,10.6666666666667,0,0.180995475113122,0,0.161387631975867,0,0.567873303167421,0,1980.24585218703,0,67.8975411583402,86.7007404204553,25.3657202193114,222.79821151281,0.0,310.23886143148,762.100377143129,8,0,0,1,0,1,0,0,1.0,0,96.0,0,1.0,0,37015,0,1.0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,475.336021245366,CPG Arenque,0,0,0,370.820047359292,TM Manzanillo,0,0,0,510.131181703943,CP Independencia,0,0,0,198.79112823513,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,17.8176486618084,TAR Aguascalientes,1,1,2,17.8176486618084,1,1,2,455.364057435802,CPG Arenque,0,0,0,350.34199481952,TM Manzanillo,0,0,0,496.575697515523,CP Independencia,0,0,0,188.715689406409,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,6.28471575717898,TAR Aguascalientes,1,1,2,6.28471575717898,1,1,2,0,False,2.835592,2.835592,0.0,2.835592,0.0,0.0,0.0,2.835592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
01006,Pabellón de Arteaga,7.99999999999997,2.9999999999999996,18977.92383,7369.055555555556,0,11.0,0,3.4651515151515153,0,82.12222222222222,0,1.8171717171717172,0,5.99949494949495,0,1.5893939393939394,0,2.530808080808081,0,1.1828282828282828,0,1.0191919191919192,0,0.2737373737373738,0,85.58737373737374,0,1.8171717171717172,0,12.595454545454546,0,58.6247678266779,0,1.4093189850798,0,13,0,13.7053198388586,0,11251,0,47646,0,0.0056883832548217,0,1.00977690871922,0,1.00488845435961,0,1.0087992178473,0,0.006932717091814,0,0.0259532486001244,0,7.0,0,0.5625,0,0.395833333333333,0,0.770833333333333,0,1982.75,0,29.364521800555,58.2144702892879,0.229565411443081,147.228711281688,0.232871711797339,37.3175718904443,280.725265815578,13,0,0,1,0,1,0,0,1.0,0,95.0,0,1.0,0,11643,0,1.0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,0,1,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,458.598353802636,CPG Arenque,0,0,0,394.796107268248,TM Manzanillo,0,0,0,508.504428906147,CP Independencia,0,0,0,203.949215568853,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,24.7366184182369,TAR Aguascalientes,1,1,2,24.7366184182369,1,1,2,447.298739884063,CPG Arenque,0,0,0,382.410891377092,TM Manzanillo,0,0,0,496.485324310894,CP Independencia,0,0,0,193.44537439639,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,16.7361907211699,TAR Aguascalientes,1,1,2,16.7361907211699,1,1,2,0,False,9.805993,9.805993,0.0,9.805993,0.0,0.0,0.0,9.805993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
01007,Rincón de Romos,5.999999999999978,2.0,21933.69174,6204.823970037453,0,13.0,0,4.830337078651685,0,79.29213483146067,0,2.007116104868914,0,6.528464419475655,0,1.5258426966292131,0,3.317228464419476,0,1.0176029962546815,0,1.152059925093633,0,0.3292134831460674,0,84.1374531835206,0,2.010112359550562,0,13.852434456928838,0,57.6466713495514,0,1.50886090049538,0,17,0,13.5177770897262,0,13519,0,57369,0,0.0090983060877283,0,0.992824913085287,0,0.988534654930098,0,0.98653746578889,0,0.0127228345291812,0,0.0295879872771655,0,14.5,0,0.360526315789474,0,0.310526315789474,0,0.71578947368421,0,1971.40789473684,0,54.7159706836562,68.1405712049563,0.0,185.376536469677,0.0,33.9136493680299,355.966949407097,11,0,0,1,0,1,0,0,1.0,0,0.0,1,2.0,0,17599,0,1.0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,461.907374447279,CPG Arenque,0,0,0,408.166646053909,TM Manzanillo,0,0,0,522.656521173211,CP Independencia,0,0,0,221.120413530859,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,43.0580727251343,TAR Aguascalientes,0,1,2,43.0580727251343,0,1,2,445.837504946568,CPG Arenque,0,0,0,393.88422944706,TM Manzanillo,0,0,0,509.66035334876,CP Independencia,0,0,0,207.210660607524,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,28.0161011846098,TAR Aguascalientes,0,2,2,28.0161011846098,0,2,2,0,False,12.764415,12.764415,0.0,12.764415,0.0,0.0,0.0,12.764415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
01008,San José de Gracia,1.0,1.0,,1866.125,0,2.0,0,3.696875,0,86.475,0,1.778125,0,6.671875,0,0.771875,0,0.359375,0,0.171875,0,0.0375,0,0.0375,0,90.171875,0,1.778125,0,8.05,0,57.5275305589345,0,0.624207521402268,0,30,0,12.4137949055722,0,2377,0,9552,0,0.0151451409339504,0,0.986537652503155,0,0.981489272191838,0,0.990323937736643,0,0.0100967606226336,0,0.0281867900715187,0,6.0,0,0.5,0,0.666666666666667,0,0.333333333333333,0,1987.33333333333,0,0.0,57.0078436454293,0.0,221.395392139062,19.1353836753954,12.6575413353232,310.754961006921,8,0,0,1,0,1,0,0,1.0,0,95.0,0,2.0,0,2752,0,1.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,481.12984651579,CPG Arenque,0,0,0,388.40859799438,TM Manzanillo,0,0,0,530.449336763268,CP Independencia,0,0,0,222.471626683345,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,39.1216790431607,TAR Aguascalientes,0,1,2,39.1216790431607,0,1,2,463.811378009839,CPG Arenque,0,0,0,372.112595906041,TM Manzanillo,0,0,0,512.200529453026,CP Independencia,0,0,0,202.488234401287,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,19.4082911445993,TAR Aguascalientes,1,2,2,19.4082911445993,1,2,2,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
01009,Tepezalá,1.0,1.0,,2590.021739130435,0,10.0,0,5.627536231884058,0,78.75652173913043,0,1.5043478260869565,0,7.131884057971015,0,2.555072463768116,0,1.576086956521739,0,1.883333333333333,0,0.7057971014492754,0,0.2594202898550724,0,84.3840579710145,0,1.5043478260869565,0,14.111594202898551,0,56.6043143837497,0,0.369957877064211,0,25,0,12.0150520914024,0,5416,0,22485,0,0.0103397341211226,0,0.988737075332349,0,0.985044313146233,0,0.980428360413589,0,0.0164327917282127,0,0.0291728212703102,0,7.5,0,0.15,0,0.6,0,0.6,0,1975.65,0,27.697191013004,48.4640385471638,0.0,81.9157677899277,1.88894872643989,22.8838054599977,203.088593829585,4,0,0,1,0,1,0,0,1.0,0,85.0,0,2.0,0,7370,0,1.0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,446.688979480271,CPG Arenque,0,0,0,413.235496882938,TM Manzanillo,0,0,0,508.615806148961,CP Independencia,0,0,0,210.248754537657,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,40.5926212181703,TAR Aguascalientes,0,1,2,40.5926212181703,0,1,2,439.630533639138,CPG Arenque,0,0,0,404.010055132726,TM Manzanillo,0,0,0,497.873926979804,CP Independencia,0,0,0,198.383416054928,Refineria Ing. Antonio M. Amor (Salamanca),0,0,0,29.8075943188018,TAR Aguascalientes,0,1,2,29.8075943188018,0,1,2,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
