"CVEGEO","NOMGEO","VIVPAR_HAB","no_VIVPAR_HAB","POBTOT","no_POBTOT","pct_VPH_SINTIC","no_pct_VPH_SINTIC","pct_VPH_C_ELEC","no_pct_VPH_C_ELEC","pct_VPH_AGUADV","no_pct_VPH_AGUADV","pct_VPH_PISODT","no_pct_VPH_PISODT","pct_VPH_PISOTI","no_pct_VPH_PISOTI","pct_VPH_1CUART","no_pct_VPH_1CUART"
"01005","Jesús María",32267,0,129929,0,0.00458672947593517,0,1.02200390491834,0,1.01791303808845,0,1.01400811975083,0,0.0127374717203335,0,0.0245761923947067,0
"01008","San José de Gracia",2377,0,9552,0,0.0151451409339504,0,0.986537652503155,0,0.981489272191838,0,0.990323937736643,0,0.0100967606226336,0,0.0281867900715187,0
"01001","Aguascalientes",257719,0,948990,0,0.0028364226153291,0,1.03129765364603,0,1.02915190575782,0,1.02694019455298,0,0.00593669849720044,0,0.0123584213814271,0
"01004","Cosío",3933,0,17000,0,0.0127129417747267,0,0.993135011441648,0,0.99160945842868,0,0.98932112890923,0,0.0101703534197813,0,0.030511060259344,0
"01011","San Francisco de los Romo",16194,0,61997,0,0.00586637026059034,0,1.00413733481536,0,1.00333456835865,0,1.00148203038162,0,0.00722489811041126,0,0.0153143139434358,0
"01006","Pabellón de Arteaga",11251,0,47646,0,0.00568838325482179,0,1.00977690871922,0,1.00488845435961,0,1.0087992178473,0,0.00693271709181406,0,0.0259532486001244,0
"01003","Calvillo",15462,0,58250,0,0.00892510671323244,0,0.995860820075023,0,0.993661880739878,0,0.991850989522701,0,0.0112533954210322,0,0.0289095847885138,0
"01010","El Llano",5130,0,20853,0,0.0181286549707602,0,1.00019493177388,0,0.996686159844055,0,0.999415204678363,0,0.0155945419103314,0,0.0376218323586745,0
"01002","Asientos",12530,0,51536,0,0.0141260973663208,0,0.99122106943336,0,0.988826815642458,0,0.984038308060654,0,0.0146847565841979,0,0.0388667198723065,0
"01009","Tepezalá",5416,0,22485,0,0.0103397341211226,0,0.988737075332349,0,0.985044313146233,0,0.980428360413589,0,0.0164327917282127,0,0.0291728212703102,0
"01007","Rincón de Romos",13519,0,57369,0,0.00909830608772838,0,0.992824913085287,0,0.988534654930098,0,0.98653746578889,0,0.0127228345291812,0,0.0295879872771655,0
"02003","Tecate",29287,0,108440,0,0.0119165500051217,0,1.03728616792434,0,1.01444326834432,0,1.03448629084577,0,0.0193942704954417,0,0.0543244442926896,0
"02004","Tijuana",522593,0,1922523,0,0.00736519624258266,0,1.09430091868816,0,1.08447682996137,0,1.07326542835438,0,0.0239670259647565,0,0.0569047040431081,0
"02001","Ensenada",133229,0,443807,0,0.0113263628789528,0,1.02313310165204,0,0.995226264552012,0,1.02189463254997,0,0.0187947068581165,0,0.0699547395837243,0
"02006","San Quintín",32090,0,117568,0,0.0250233717669056,0,0.952633219071362,0,0.848987223434092,0,0.967341851043939,0,0.0433468370208788,0,0.230975381738859,0
"02007","San Felipe",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
"02002","Mexicali",311321,0,1049792,0,0.00870484162648842,0,1.04982317286659,0,1.04827493166218,0,1.04203378506429,0,0.0146986550859081,0,0.0271102816706872,0
