"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.1308_OPT","se_h1.1308_OPT","pval_h1.1308_OPT","n_l_h1.1308_OPT","n_r_h1.1308_OPT","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"IM_2020",-2.7566,2438.2621,0.2535,3,8,-0.9717,10.1705,0.6325,9,17,-0.9406,6.7764,0.7328,11,19,-0.1377,2.6569,0.342,19,26
"IE",38.8317,20844.5492,0.2726,3,8,-9.263,55.4852,0.3548,9,17,-9.6799,25.18,0.4497,11,19,-7.7489,13.4853,0.3937,19,26
"TCVCU",9.4645,1301.7974,0.9699,3,8,0.4085,12.4964,0.355,9,17,1.5489,14.9852,0.616,11,19,0.4997,4.8528,0.5165,19,26
"ICE",38.2294,21462.5817,0.2705,3,8,-9.5234,55.5847,0.3665,9,17,-9.9429,24.8542,0.4546,11,19,-7.7775,13.6645,0.3719,19,26
"POBTOT",46063.6108,826167110.6712,0.2486,3,8,-267070.7167,1833147.7882,0.8682,9,17,-268739.2854,806751.4323,0.7991,11,19,-69534.4612,502762.5144,0.2016,19,26
"VIVPAR_HAB",106175.0396,223804368.5161,0.2503,3,8,-65074.1472,478991.2925,0.9202,9,17,-67332.3214,198229.289,0.9508,11,19,-10780.5578,133623.1404,0.2021,19,26
"pct_VPH_SINTIC",0.0086,2.449,0.2987,3,8,0.0046,0.0307,0.4298,9,17,0.0046,0.0232,0.6534,11,19,0.0019,0.0079,0.1508,19,26
"pct_VPH_C_ELEC",-0.2577,54.5308,0.4025,3,8,0.0053,0.2946,0.228,9,17,0.0018,0.1821,0.6559,11,19,-0.0091,0.0699,0.8432,19,26
"pct_VPH_AGUADV",-0.3033,62.3071,0.3931,3,8,-0.0132,0.3373,0.3107,9,17,-0.0174,0.2032,0.6925,11,19,-0.0263,0.0809,0.852,19,26
"pct_VPH_PISODT",-0.2198,49.9821,0.3722,3,8,-0.0149,0.4201,0.3453,9,17,-0.0114,0.2831,0.5292,11,19,-0.0072,0.0985,0.726,19,26
"pct_VPH_PISOTI",-0.0344,5.2479,0.9145,3,8,0.0206,0.2019,0.7938,9,17,0.0133,0.151,0.4962,11,19,-0.0013,0.0535,0.3657,19,26
"pct_VPH_1CUART",-0.0038,9.4901,0.2573,3,8,0.0496,0.1373,0.8074,9,17,0.0459,0.0875,0.5255,11,19,0.0181,0.0412,0.0107,19,26
"km_carretera_fed",200.8395,163555.5067,0.2578,3,8,-52.3102,368.2544,0.3864,9,17,-66.8786,184.1608,0.3157,11,19,-23.5329,126.2578,0.2299,19,26
"km_carretera_est",280.7561,105560.3001,0.297,3,8,-37.8829,356.9904,0.2119,9,17,-24.5518,389.8456,0.8059,11,19,-23.4103,114.0992,0.9042,19,26
"km_cuota",-88.7864,28403.5461,0.3313,3,8,7.8911,160.4833,0.5272,9,17,12.4181,118.1313,0.4782,11,19,27.8356,42.5101,0.861,19,26
"km_camino",548.8667,131261.9884,0.3464,3,8,156.6828,1231.5697,0.2151,9,17,82.1112,982.0015,0.4189,11,19,154.9618,592.4655,0.833,19,26
"km_vialidad_urbana",3044.1709,588714.1143,0.4004,3,8,253.0027,3097.779,0.1743,9,17,201.3945,1736.6339,0.1642,11,19,483.6575,715.6489,0.8584,19,26
"km_total",4664.1832,1183624.7518,0.3287,3,8,352.7291,5426.7639,0.1756,9,17,211.8115,3153.9165,0.2286,11,19,644.7296,1418.8748,0.7837,19,26
"tdpa_avg",96616.09,22163274.3561,0.3365,3,8,15717.5508,100461.3156,0.3812,9,17,14700.7673,60120.0412,0.3497,11,19,9081.784,26251.0949,0.376,19,26
"punto_generador_count",67.402,14991.1097,0.3548,3,8,2.4699,62.6226,0.1636,9,17,1.0963,38.6566,0.2675,11,19,0.1259,16.0387,0.9107,19,26
"n_federal_offices",101.229,80388.3375,0.2588,3,8,23.6482,249.4191,0.4699,9,17,8.5244,213.3183,0.3211,11,19,42.6941,121.3621,0.9201,19,26
"ag_servi",0,0,0,3,8,0,0,0,9,17,0,0,0,11,19,0,0,0,19,26
"serv_dre",0,0,0,3,8,0,0,0,9,17,0,0,0,11,19,0,0,0,19,26
"ag_dias",15.2957,7154.5662,0.2755,3,8,-1.9835,19.6475,0.3953,9,17,-1.7862,9.3893,0.8496,11,19,-0.9205,4.9161,0.5861,19,26
"ag_horas",81.3278,15501.9446,0.5072,3,8,-15.1854,79.3333,0.258,9,17,-14.4355,43.4937,0.7483,11,19,-9.955,18.1701,0.2796,19,26
"n_schools_avg",3.6384,4.3456,0.3402,3,8,1.9856,3.7703,0.2642,9,17,1.7804,3.5394,0.3256,11,19,2.9192,3.4238,0.5884,19,26
"pct_con_bebederos",0.1025,0.1164,0.3543,3,8,0.0505,0.1011,0.2535,9,17,0.0432,0.0949,0.3102,11,19,0.0547,0.0905,0.5563,19,26
"pct_con_cancha",0.1338,0.2065,0.287,3,8,0.1323,0.1771,0.3429,9,17,0.1171,0.167,0.3053,11,19,0.1367,0.155,0.4245,19,26
"avg_anio_creacion",305.5898,565.7594,0.262,3,8,386.3254,483.9379,0.3775,9,17,355.1181,453.9787,0.3237,11,19,436.9452,425.9528,0.4044,19,26
"n_hospital",68.9844,34164.2142,0.2713,3,8,-11.1437,90.0961,0.4052,9,17,-10.5127,39.3478,0.6491,11,19,-5.2101,21.5615,0.382,19,26
"n_turismo_total",161.0434,86963.4542,0.2713,3,8,-39.3098,236.7957,0.3817,9,17,-40.5833,105.9806,0.5069,11,19,-31.2125,55.5806,0.3238,19,26
"n_sites_total",898.5431,489037.3422,0.2708,3,8,-237.9811,1275.2128,0.3915,9,17,-241.0831,541.1904,0.5722,11,19,-177.8594,304.5461,0.2394,19,26
"no_tdpa_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_punto_generador_count",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_m_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_a_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_b_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_c2_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_c3_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_t3s2_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_t3s3_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_t3s2r4_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_otros_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_aa_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_bb_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_cc_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.6457,3.0456,0.2234,11,19,-0.4804,1.0974,0.3587,19,26
"no_IM_2020",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_IE",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_TCVCU",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_ICE",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_VIVPAR_HAB",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_POBTOT",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_pct_VPH_SINTIC",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_pct_VPH_C_ELEC",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_pct_VPH_AGUADV",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_pct_VPH_PISODT",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_pct_VPH_PISOTI",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_pct_VPH_1CUART",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
