"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5","coef_h1.76_OPT","se_h1.76_OPT","pval_h1.76_OPT","n_l_h1.76_OPT","n_r_h1.76_OPT"
"tdpa_avg",96616.09,22163274.3561,0.3365,3,8,15717.5508,100461.3156,0.3812,9,17,9081.784,26251.0949,0.376,19,26,8812.261,19007.2331,0.4781,37,26
"no_tdpa_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"punto_generador_count",67.402,14991.1097,0.3548,3,8,2.4699,62.6226,0.1636,9,17,0.1259,16.0387,0.9107,19,26,-0.1103,12.3292,0.896,37,26
"no_punto_generador_count",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"m_avg",14.1367,3182.8866,0.345,3,8,2.9727,18.3934,0.1851,9,17,1.0107,4.5809,0.162,19,26,0.1502,3.1702,0.2569,37,26
"no_m_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"a_avg",393.8342,51122.3001,0.9017,3,8,59.7283,422.7871,0.2103,9,17,39.8214,87.5288,0.3545,19,26,30.4356,66.0845,0.3237,37,26
"no_a_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"b_avg",11.5987,1536.5577,0.7181,3,8,2.042,10.6729,0.2032,9,17,1.543,2.481,0.235,19,26,1.2014,1.8691,0.1959,37,26
"no_b_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"c2_avg",34.0468,5029.3844,0.6404,3,8,3.3971,38.8623,0.2276,9,17,1.5414,8.07,0.5377,19,26,1.0976,6.1002,0.6248,37,26
"no_c2_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"c3_avg",10.6776,1521.9374,0.6736,3,8,0.9363,10.0344,0.1717,9,17,0.7579,2.1217,0.6192,19,26,0.8803,1.6985,0.6964,37,26
"no_c3_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"t3s2_avg",23.0086,3454.4757,0.6438,3,8,1.2149,21.1738,0.1743,9,17,1.5839,4.7518,0.7784,19,26,1.8133,4.012,0.8169,37,26
"no_t3s2_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"t3s3_avg",5.9502,831.8122,0.7513,3,8,0.7615,5.8618,0.1972,9,17,0.5976,1.267,0.3874,19,26,0.5952,0.9882,0.4837,37,26
"no_t3s3_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"t3s2r4_avg",5.2773,1058.6447,0.3546,3,8,1.0894,4.6436,0.1461,9,17,0.9166,1.2596,0.2474,19,26,0.9151,1.0428,0.3099,37,26
"no_t3s2r4_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"otros_avg",2.3931,329.3778,0.7686,3,8,0.3257,2.2942,0.201,9,17,0.2686,0.5003,0.4001,19,26,0.252,0.3905,0.4071,37,26
"no_otros_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"aa_avg",407.9709,52738.1543,0.9499,3,8,62.701,439.9397,0.2079,9,17,40.8321,90.9691,0.3364,19,26,30.5857,68.6686,0.3163,37,26
"no_aa_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"bb_avg",11.5987,1536.5577,0.7181,3,8,2.042,10.6729,0.2032,9,17,1.543,2.481,0.235,19,26,1.2014,1.8691,0.1959,37,26
