"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h0.7529_OPT","se_h0.7529_OPT","pval_h0.7529_OPT","n_l_h0.7529_OPT","n_r_h0.7529_OPT","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"IM_2020",0.3042,1.9287,0.5089,21,11,0.3085,1.8154,0.6603,35,11,-0.215,1.4316,0.6822,57,14,-0.7539,1.2096,0.8486,128,21
"IE",2.7028,2.7511,0.0448,21,11,1.3179,2.8417,0.06,35,11,-0.1524,2.2091,0.2692,57,14,-0.4455,2.1688,0.8409,128,21
"TCVCU",0.7753,4.2562,0.8433,21,11,1.7338,4.4048,0.609,35,11,2.0021,4.4672,0.8031,57,14,2.9673,3.9805,0.9907,128,21
"ICE",2.8285,3.0737,0.0551,21,11,1.4345,3.0577,0.0649,35,11,-0.1904,2.324,0.256,57,14,-0.6377,2.2728,0.8125,128,21
"POBTOT",-88839.1573,159829.4182,0.8283,21,11,-89275.3166,144033.6654,0.7629,35,11,-97334.6335,139735.2352,0.4354,57,14,-127096.0767,131019.4852,0.5928,128,21
"VIVPAR_HAB",-12166.3043,55214.9966,0.432,21,11,-15144.1747,49572.8916,0.8456,35,11,-20926.7555,44607.8587,0.6908,57,14,-32949.1167,40569.3788,0.7937,128,21
"pct_VPH_SINTIC",0.0031,0.0064,0.8191,21,11,0.003,0.0063,0.7789,35,11,0.0052,0.0053,0.6968,57,14,0.006,0.0048,0.4344,128,21
"pct_VPH_C_ELEC",-3e-04,0.0481,0.8509,21,11,0.0069,0.0411,0.7924,35,11,0.0122,0.0317,0.9455,57,14,0.0178,0.0252,0.663,128,21
"pct_VPH_AGUADV",-0.008,0.0804,0.7066,21,11,-0.0073,0.0687,0.8826,35,11,-0.0019,0.0536,0.887,57,14,-1e-04,0.0422,0.9785,128,21
"pct_VPH_PISODT",-0.0111,0.0688,0.9874,21,11,-0.0028,0.0613,0.9078,35,11,-0.0031,0.0472,0.8712,57,14,-3e-04,0.0386,0.9688,128,21
"pct_VPH_PISOTI",0.0106,0.0365,0.7609,21,11,0.01,0.0363,0.6332,35,11,0.016,0.0316,0.7654,57,14,0.0204,0.0265,0.66,128,21
"pct_VPH_1CUART",0.0094,0.0409,0.9993,21,11,0.0204,0.0399,0.9537,35,11,0.0344,0.035,0.7535,57,14,0.0398,0.0297,0.3766,128,21
"km_carretera_fed",-52.6723,177.9045,0.8632,21,11,-42.8723,144.2999,0.7723,35,11,-28.7264,125.9183,0.6333,57,14,-4.7831,91.147,0.6727,128,21
"km_carretera_est",101.7958,109.4447,0.8202,21,11,99.6823,107.5311,0.6933,35,11,108.0392,89.8038,0.3356,57,14,92.4161,82.9701,0.146,128,21
