"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h0.8_OPT","se_h0.8_OPT","pval_h0.8_OPT","n_l_h0.8_OPT","n_r_h0.8_OPT","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"tdpa_avg",-11005.6355,12442.446,0.4987,21,11,-12977.9606,7580.1996,0.1187,37,13,-9105.9375,6785.1524,0.0303,57,14,-5427.8576,7323.0838,0.1375,128,21
"no_tdpa_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"punto_generador_count",-6.6148,8.1701,0.4225,21,11,-5.2368,7.5388,0.3376,37,13,-3.2082,7.1068,0.3033,57,14,-1.2371,5.5533,0.4055,128,21
"no_punto_generador_count",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"m_avg",-1.695,2.5513,0.2201,21,11,-0.8468,1.7252,0.0834,37,13,0.6312,1.539,0.1512,57,14,0.4864,1.3669,0.7663,128,21
"no_m_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"a_avg",-33.3527,44.9971,0.2885,21,11,-28.4731,33.8308,0.2394,37,13,-14.6853,29.7764,0.1646,57,14,-3.9438,25.0351,0.3917,128,21
"no_a_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"b_avg",-0.1758,1.8597,0.318,21,11,-0.1273,1.3302,0.819,37,13,0.0249,1.1541,0.7906,57,14,0.2546,0.9222,0.9822,128,21
"no_b_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"c2_avg",-3.8331,3.6355,0.0769,21,11,-3.0305,2.755,0.0939,37,13,-1.7897,2.4535,0.0773,57,14,-0.6111,2.017,0.189,128,21
"no_c2_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"c3_avg",-0.3296,0.8325,0.4483,21,11,-0.3128,0.6249,0.4941,37,13,-0.3093,0.5675,0.5191,57,14,-0.2955,0.5174,0.586,128,21
"no_c3_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"t3s2_avg",-0.0642,2.5848,0.3777,21,11,0.2031,2.2876,0.8679,37,13,-0.1088,2.1784,0.9266,57,14,-0.1639,1.8956,0.974,128,21
"no_t3s2_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"t3s3_avg",-0.325,0.5975,0.367,21,11,-0.3312,0.4352,0.3813,37,13,-0.2628,0.4048,0.3791,57,14,-0.2077,0.3728,0.4547,128,21
"no_t3s3_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"t3s2r4_avg",0.2268,0.7869,0.8498,21,11,0.0399,0.6352,0.6396,37,13,-0.0615,0.6612,0.7263,57,14,-0.0792,0.6125,0.9419,128,21
"no_t3s2r4_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"otros_avg",-0.2598,0.2315,0.0676,21,11,-0.2175,0.1753,0.073,37,13,-0.164,0.1625,0.0891,57,14,-0.1035,0.1421,0.171,128,21
"no_otros_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"aa_avg",-35.0477,46.3589,0.2724,21,11,-29.32,34.8592,0.2196,37,13,-14.054,30.7202,0.1559,57,14,-3.4573,25.8957,0.4165,128,21
"no_aa_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"bb_avg",-0.1758,1.8597,0.318,21,11,-0.1273,1.3302,0.819,37,13,0.0249,1.1541,0.7906,57,14,0.2539,0.9222,0.9815,128,21
"no_bb_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"cc_avg",-4.5848,7.6025,0.1816,21,11,-3.649,6.1068,0.3405,37,13,-2.6961,5.6422,0.3852,57,14,-1.4651,4.9603,0.4941,128,21
"no_cc_avg",0.3981,0.5464,0.2497,21,11,0.331,0.4103,0.2332,37,13,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"IM_2020",0.3042,1.9287,0.5089,21,11,0.2835,1.5494,0.7439,37,13,-0.215,1.4316,0.6822,57,14,-0.7539,1.2096,0.8486,128,21
"no_IM_2020",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"IE",2.7028,2.7511,0.0448,21,11,0.9076,2.6733,0.0807,37,13,-0.1524,2.2091,0.2692,57,14,-0.4455,2.1688,0.8409,128,21
"no_IE",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"TCVCU",0.7753,4.2562,0.8433,21,11,1.6967,3.7617,0.9518,37,13,2.0021,4.4672,0.8031,57,14,2.9673,3.9805,0.9907,128,21
"no_TCVCU",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"ICE",2.8285,3.0737,0.0551,21,11,1.0155,2.8093,0.083,37,13,-0.1904,2.324,0.256,57,14,-0.6377,2.2728,0.8125,128,21
"no_ICE",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"VIVPAR_HAB",-12166.3043,55214.9966,0.432,21,11,-14939.4736,46008.7874,0.9165,37,13,-20926.7555,44607.8587,0.6908,57,14,-32949.1167,40569.3788,0.7937,128,21
"no_VIVPAR_HAB",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"POBTOT",-88839.1573,159829.4182,0.8283,21,11,-86115.3368,139768.7457,0.5627,37,13,-97334.6335,139735.2352,0.4354,57,14,-127096.0767,131019.4852,0.5928,128,21
"no_POBTOT",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"pct_VPH_SINTIC",0.0031,0.0064,0.8191,21,11,0.0034,0.0056,0.7206,37,13,0.0052,0.0053,0.6968,57,14,0.006,0.0048,0.4344,128,21
"no_pct_VPH_SINTIC",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
