"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h172.36_OPT","se_h172.36_OPT","pval_h172.36_OPT","n_l_h172.36_OPT","n_r_h172.36_OPT"
"tdpa_avg",30717.4757,44162.427,0.2108,9,10,19727.3054,35102.121,0.2698,14,15,17128.3034,29094.9456,0.3518,19,20,14611.7613,24885.2325,0.3437,24,25,12683.1309,21804.3592,0.3365,29,30,1985.4001,6127.2846,0.493,60,173
"no_tdpa_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"punto_generador_count",5.0697,9.0295,0.5174,9,10,1.8742,8.3606,0.4243,14,15,0.6306,7.6961,0.599,19,20,0.6459,7.3531,0.7936,24,25,0.4038,7.0733,0.8175,29,30,0.0944,3.5802,0.846,60,173
"no_punto_generador_count",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"m_avg",0.1347,2.4848,0.9142,9,10,0.3921,2.2864,0.8999,14,15,0.502,2.1387,0.9922,19,20,0.2496,1.9898,0.7601,24,25,-0.4826,1.8795,0.4967,29,30,0.532,1.0313,0.7427,60,173
"no_m_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"a_avg",7.997,37.0646,0.6159,9,10,2.3938,32.7153,0.7719,14,15,2.4236,31.8279,0.9175,19,20,1.8748,29.8596,0.8946,24,25,0.1431,27.8085,0.874,29,30,-6.8803,15.8288,0.7267,60,173
"no_a_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"b_avg",-1.275,2.3734,0.4325,9,10,-0.648,1.6664,0.2791,14,15,-0.1721,1.3724,0.3423,19,20,-0.073,1.1788,0.567,24,25,0.05,1.0465,0.625,29,30,-0.289,0.5886,0.7522,60,173
"no_b_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"c2_avg",-1.0446,4.5351,0.6367,9,10,-1.2195,3.2722,0.6333,14,15,-0.5857,2.8033,0.5074,19,20,-0.3228,2.495,0.6175,24,25,-0.4452,2.2676,0.7798,29,30,-0.7047,1.3046,0.986,60,173
"no_c2_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"c3_avg",-0.3863,0.8073,0.7195,9,10,-0.3753,0.6589,0.4711,14,15,-0.1099,0.6518,0.367,19,20,-0.0185,0.6406,0.5323,24,25,0.1123,0.6041,0.5377,29,30,0.1485,0.395,0.4362,60,173
"no_c3_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"t3s2_avg",-0.7957,2.4705,0.7455,9,10,-1.2397,1.908,0.4273,14,15,-0.306,1.8012,0.3092,19,20,-0.023,1.6316,0.4618,24,25,0.2839,1.3862,0.5005,29,30,0.6615,1.2151,0.3011,60,173
"no_t3s2_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"t3s3_avg",0.2142,1.0858,0.3733,9,10,-0.0096,0.8341,0.7737,14,15,0.1421,0.7265,0.9615,19,20,0.1872,0.6507,0.9552,24,25,0.2098,0.5886,0.8954,29,30,0.1305,0.2851,0.2218,60,173
"no_t3s3_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
