municipio,CVEGEO,tdpa_mean,no_tdpa_mean,punto_generador_count,no_punto_generador_count,m_mean,no_m_mean,a_mean,no_a_mean,b_mean,no_b_mean,c2_mean,no_c2_mean,c3_mean,no_c3_mean,t3s2_mean,no_t3s2_mean,t3s3_mean,no_t3s3_mean,t3s2r4_mean,no_t3s2r4_mean,otros_mean,no_otros_mean,aa_mean,no_aa_mean,bb_mean,no_bb_mean,cc_mean,no_cc_mean
Aguascalientes,01001,11298.763489208633,0,30.0,0,2.9176258992805755,0,80.98696043165468,0,2.227787769784173,0,6.395593525179856,0,2.0016187050359715,0,2.974370503597122,0,1.0703237410071942,0,1.0571043165467626,0,0.368615107913669,0,83.90458633093525,0,2.227787769784173,0,13.867625899280576,0
Asientos,01002,4616.6746411483255,0,10.0,0,5.1947368421052635,0,80.87464114832535,0,1.8784688995215313,0,8.316267942583732,0,1.4086124401913875,0,1.5732057416267944,0,0.39425837320574164,0,0.12679425837320574,0,0.23301435406698565,0,86.06937799043062,0,1.8784688995215313,0,12.052153110047847,0
Calvillo,01003,4997.627659574468,0,11.0,0,2.532978723404255,0,88.26329787234043,0,0.7425531914893617,0,6.201063829787234,0,0.8356382978723403,0,0.9606382978723403,0,0.26276595744680853,0,0.09095744680851064,0,0.1101063829787234,0,90.79627659574469,0,0.7425531914893617,0,8.461170212765957,0
Cosío,01004,6973.5395683453235,0,3.0,0,3.2007194244604316,0,68.9546762589928,0,4.27410071942446,0,6.71726618705036,0,2.131654676258993,0,8.29496402877698,0,2.3338129496402877,0,3.4244604316546763,0,0.6683453237410072,0,72.15539568345324,0,4.27410071942446,0,23.570503597122304,0
Jesús María,01005,11065.40459770115,0,16.0,0,2.894712643678161,0,83.05701149425288,0,1.4942528735632183,0,6.701379310344827,0,1.8448275862068966,0,2.225287356321839,0,0.9551724137931035,0,0.5793103448275863,0,0.24804597701149428,0,85.95172413793104,0,1.4942528735632183,0,12.554022988505746,0
Pabellón de Arteaga,01006,7369.055555555556,0,11.0,0,3.4651515151515153,0,82.12222222222222,0,1.8171717171717172,0,5.99949494949495,0,1.5893939393939394,0,2.530808080808081,0,1.1828282828282828,0,1.0191919191919192,0,0.2737373737373738,0,85.58737373737374,0,1.8171717171717172,0,12.595454545454546,0
Rincón de Romos,01007,6204.823970037453,0,13.0,0,4.830337078651685,0,79.29213483146067,0,2.007116104868914,0,6.528464419475655,0,1.5258426966292133,0,3.317228464419476,0,1.0176029962546815,0,1.152059925093633,0,0.3292134831460674,0,84.1374531835206,0,2.010112359550562,0,13.852434456928838,0
San José de Gracia,01008,1866.125,0,2.0,0,3.696875,0,86.475,0,1.778125,0,6.671875,0,0.771875,0,0.359375,0,0.171875,0,0.037500000000000006,0,0.037500000000000006,0,90.171875,0,1.778125,0,8.05,0
Tepezalá,01009,2590.021739130435,0,10.0,0,5.627536231884058,0,78.75652173913043,0,1.5043478260869565,0,7.131884057971015,0,2.555072463768116,0,1.576086956521739,0,1.883333333333333,0,0.7057971014492754,0,0.25942028985507243,0,84.3840579710145,0,1.5043478260869565,0,14.111594202898551,0
El Llano,01010,4018.4204545454545,0,8.0,0,4.711363636363637,0,77.90738636363636,0,2.1607954545454544,0,8.172727272727274,0,2.690909090909091,0,2.611931818181818,0,0.9136363636363637,0,0.5982954545454545,0,0.23295454545454544,0,82.61874999999999,0,2.1607954545454544,0,15.220454545454546,0
San Francisco de los Romo,01011,12488.273333333333,0,6.0,0,2.756,0,80.798,0,1.8966666666666667,0,6.244,0,1.7713333333333332,0,3.3566666666666665,0,1.2973333333333332,0,1.55,0,0.33,0,83.554,0,1.8966666666666667,0,14.549333333333333,0
Ensenada,02001,8790.23786407767,0,29.0,0,1.5973300970873787,0,80.81067961165049,0,1.5893203883495144,0,8.494174757281554,0,1.1366504854368933,0,4.3274271844660195,0,1.100242718446602,0,0.6026699029126213,0,0.341504854368932,0,82.40800970873786,0,1.5893203883495144,0,16.002669902912622,0
Mexicali,02002,7059.779867256637,0,47.0,0,1.183849557522124,0,83.02643805309734,0,1.6252212389380531,0,7.333296460176991,0,1.0720132743362831,0,3.683075221238938,0,0.8120575221238938,0,0.8689159292035398,0,0.39513274336283183,0,84.21028761061947,0,1.6252212389380531,0,14.064392699115043,0
Tecate,02003,5175.793859649123,0,13.0,0,1.3021929824561402,0,75.95570175438597,0,2.9394736842105265,0,6.162280701754386,0,1.2767543859649124,0,8.302192982456141,0,1.3214912280701754,0,2.049122807017544,0,0.6907894736842105,0,77.2578947368421,0,2.9394736842105265,0,19.80263157894737,0
Tijuana,02004,11670.544554455446,0,14.0,0,1.010891089108911,0,85.46336633663365,0,1.6886138613861388,0,4.042574257425743,0,1.0905940594059407,0,4.650990099009901,0,0.6396039603960395,0,0.9673267326732674,0,0.446039603960396,0,86.47425742574256,0,1.6886138613861388,0,11.837128712871287,0
Playas de Rosarito,02005,11140.841911764706,0,18.0,0,1.3904411764705882,0,88.54632352941177,0,1.0683823529411764,0,4.303676470588235,0,0.7746323529411764,0,2.637132352941176,0,0.4963235294117647,0,0.5327205882352941,0,0.25036764705882353,0,89.93676470588235,0,1.0683823529411764,0,8.99485294117647,0
San Quintín,02006,3474.4741035856573,0,18.0,0,1.7119521912350597,0,67.47689243027888,0,3.2163346613545816,0,11.313545816733066,0,1.649003984063745,0,12.320717131474103,0,1.5414342629482072,0,0.4760956175298805,0,0.2940239043824701,0,69.18884462151395,0,3.2163346613545816,0,27.594820717131476,0
San Felipe,02007,4044.756345177665,0,7.0,0,3.081218274111675,0,70.60609137055837,0,2.0964467005076144,0,10.378172588832488,0,2.236040609137056,0,8.804060913705584,0,1.5578680203045685,0,0.7944162436548223,0,0.44568527918781725,0,73.68730964467005,0,2.0964467005076144,0,24.216243654822335,0
Comondú,03001,1747.1535714285715,0,18.0,0,1.4182142857142859,0,83.36392857142857,0,1.3360714285714286,0,8.846785714285714,0,1.7539285714285715,0,2.2232142857142856,0,0.5325,0,0.3228571428571429,0,0.2025,0,84.78214285714286,0,1.3360714285714286,0,13.881785714285714,0
Mulegé,03002,1933.175,0,16.0,0,1.7642857142857142,0,76.93035714285715,0,2.374285714285714,0,9.341785714285713,0,1.6960714285714285,0,6.186071428571428,0,0.9842857142857143,0,0.5032142857142857,0,0.21964285714285714,0,78.69464285714285,0,2.374285714285714,0,18.93107142857143,0
La Paz,03003,22482.234251968504,0,39.0,0,2.178444881889764,0,83.63366141732284,0,1.5458661417322834,0,7.256397637795276,0,1.4503937007874015,0,2.203543307086614,0,0.9275590551181102,0,0.5329724409448819,0,0.27116141732283466,0,85.8121062992126,0,1.5458661417322834,0,12.642027559055117,0
Los Cabos,03008,10880.054200542005,0,19.0,0,1.5029810298102981,0,87.37371273712738,0,1.2772357723577237,0,7.101897018970189,0,1.1883468834688347,0,0.7517615176151761,0,0.4008130081300813,0,0.25121951219512195,0,0.15203252032520326,0,88.87669376693766,0,1.2772357723577237,0,9.846070460704606,0
Loreto,03009,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
Calkiní,04001,3148.2051282051284,0,5.0,0,12.305128205128204,0,72.4025641025641,0,2.4282051282051285,0,4.529487179487179,0,1.5576923076923077,0,4.003846153846154,0,0.7435897435897436,0,1.7128205128205127,0,0.31666666666666665,0,84.70769230769231,0,2.4282051282051285,0,12.864102564102565,0
Campeche,04002,3420.233796296296,0,20.0,0,9.17361111111111,0,75.68888888888888,0,1.7395833333333333,0,6.84675925925926,0,1.4506944444444445,0,2.6912037037037035,0,0.7886574074074074,0,1.312962962962963,0,0.3076388888888889,0,84.8625,0,1.7395833333333333,0,13.397916666666665,0
Carmen,04003,4563.416909620992,0,18.0,0,4.535276967930029,0,64.40524781341108,0,4.9533527696793005,0,7.197959183673469,0,2.3737609329446063,0,8.670262390670555,0,2.0247813411078717,0,5.142565597667638,0,0.6967930029154519,0,68.9405247813411,0,4.9533527696793005,0,26.10612244897959,0
