CVEGEO,longitud_sum,carriles_mean,share_cuota
01001,297.43,3.3333333333333335,0.023809523809523808
01002,9.0,2.0,0.0
01003,14.5,4.0,0.0
01004,6.3,4.0,0.0
01006,2.84,4.0,0.0
01007,33.95,2.4,0.0
01008,3.07,2.0,0.0
01009,12.7,2.0,0.0
01011,5.8,4.0,0.0
02001,224.0,2.8333333333333335,0.08333333333333333
02002,469.03,3.3043478260869565,0.17391304347826086
02003,170.53,2.8333333333333335,0.25
02004,192.48,3.8620689655172415,0.7241379310344828
02006,23.6,3.0,0.0
02007,124.06,2.0,0.0
03002,126.0,2.0,0.0
03003,434.39,2.9655172413793105,0.034482758620689655
03009,198.9,2.0,0.0
04001,10.1,4.0,0.0
04002,475.24,3.4054054054054053,0.02702702702702703
04004,203.95000000000002,3.0,0.125
04005,11.4,4.0,0.0
04006,75.3,2.0,0.0
04007,31.2,2.0,0.0
04008,12.5,4.0,0.0
04011,142.9,2.0,0.0
04013,9.4,2.0,0.0
05005,2.5,2.0,1.0
05007,216.0,3.0,0.0
05010,30.9,2.6666666666666665,0.0
05018,245.63,3.7142857142857144,0.07142857142857142
05021,34.269999999999996,4.0,0.0
05022,38.63,4.0,0.0
05025,123.37,3.0,0.0
05027,8.75,8.0,0.0
05029,5.73,4.0,0.0
05030,1048.3700000000001,3.673469387755102,0.22448979591836735
05031,50.7,4.0,0.0
05033,161.85,3.272727272727273,0.09090909090909091
05035,199.24,3.888888888888889,0.1111111111111111
05037,26.880000000000003,4.0,0.3333333333333333
06001,26.369999999999997,3.0,0.5
06002,66.15,3.5,0.0
06005,24.810000000000002,4.666666666666667,0.6666666666666666
06006,3.2,2.0,0.0
06007,618.73,2.41025641025641,0.07692307692307693
06008,56.4,2.0,0.0
06009,19.75,3.3333333333333335,0.0
07006,31.0,2.0,0.0
07007,50.6,2.0,0.0
07009,169.32,2.2666666666666666,0.4
07013,18.0,2.0,0.0
07015,22.0,2.0,0.0
07016,193.45,2.0,0.0
07027,26.909999999999997,3.0,0.0
07028,3.0,2.0,1.0
07029,34.0,2.0,0.0
07034,18.0,2.0,0.0
07035,14.8,2.0,0.0
07036,14.86,4.0,0.0
07037,20.91,4.0,0.0
07038,64.1,2.0,0.0
07040,40.87,2.8,0.0
07044,12.0,2.0,0.0
07047,13.21,2.0,0.0
07057,50.0,2.0,0.0
07059,39.8,2.0,0.0
07067,164.56,3.3333333333333335,0.0
07068,50.58,2.0,0.0
07069,55.39,4.0,0.0
07071,24.9,4.0,0.0
07073,85.78999999999999,2.0,0.0
07074,10.3,2.0,0.0
07075,72.6,4.0,1.0
07077,6.23,2.0,0.0
07078,61.49,2.0,0.0
07085,18.0,2.0,0.0
07089,74.74000000000001,3.2,0.0
07094,25.1,2.0,0.0
07097,4.4,4.0,0.0
07099,75.58000000000001,2.4,0.0
07101,312.13,2.4347826086956523,0.13043478260869565
07102,8.02,3.0,0.0
07114,238.0,2.0,0.0
07123,6.0,2.0,0.0
07124,29.7,2.0,1.0
08001,84.92999999999999,4.0,0.5
08002,62.35,3.0,0.0
08010,86.0,2.0,0.0
08011,108.7,3.5,0.75
08017,3.6,4.0,0.0
08019,412.46000000000004,3.1578947368421053,0.3157894736842105
08021,96.7,3.75,0.25
08024,49.0,2.0,0.0
08028,54.260000000000005,2.0,0.0
08029,22.0,2.0,0.0
08032,477.7,2.1538461538461537,0.0
08034,47.2,2.6666666666666665,0.0
08035,367.2,2.6,0.0
08036,78.11,3.5,0.5
08037,99.82,3.2,0.0
08044,47.53,2.0,0.0
08045,8.6,4.0,0.0
08050,102.1,2.0,0.0
08052,83.0,2.0,0.0
08060,151.29,4.0,0.25
08061,72.0,2.0,0.0
08062,53.099999999999994,3.2,0.6
08064,57.1,4.666666666666667,0.0
09009,18.8,2.0,0.0
10001,126.3,2.6666666666666665,0.6666666666666666
10002,1.2,2.0,0.0
10004,203.3,2.3333333333333335,0.0
10005,1083.699,2.8666666666666667,0.35
10007,487.38100000000003,3.111111111111111,0.3333333333333333
10008,12.63,2.0,0.0
10014,57.8,2.0,0.0
10015,53.0,2.0,0.0
10016,9.09,2.0,0.0
10025,16.0,4.0,1.0
10031,14.5,2.0,0.0
10032,16.0,2.0,0.0
10033,19.919999999999998,2.0,0.0
10034,11.01,2.0,0.0
10035,121.8,2.0,0.0
10037,149.0,2.0,0.0
11001,35.65,4.0,0.0
11002,100.16999999999999,3.25,0.25
11003,29.72,2.6666666666666665,0.0
11007,52.72,3.6666666666666665,0.3333333333333333
11008,47.3,2.6666666666666665,0.3333333333333333
11010,73.8,3.0,0.5
11011,29.2,2.0,0.0
11012,23.0,2.0,0.0
11015,52.790000000000006,4.0,0.0
11017,172.27,3.75,0.25
11019,31.42,2.0,0.0
11020,258.265,3.5454545454545454,0.2727272727272727
11023,62.4,3.0,0.0
11027,72.59,4.0,0.6666666666666666
11028,46.1,3.0,0.0
11030,47.3,2.0,0.0
11033,148.45,2.5454545454545454,0.0
11038,30.0,2.0,0.0
11041,12.46,5.0,0.0
11046,19.13,2.0,0.0
12007,52.57,2.0,0.0
12011,191.93,2.0,0.0
12012,31.8,2.0,0.0
12018,10.0,4.0,0.0
12021,15.23,2.0,0.0
12023,31.919999999999998,2.0,0.0
12028,150.3,2.0,0.0
12033,16.17,2.0,0.0
12036,9.4,2.0,0.0
12038,538.73,2.186046511627907,0.06976744186046512
12046,15.94,2.0,0.0
12053,49.959999999999994,2.0,0.0
12056,82.0,2.0,0.0
12057,8.2,2.0,0.0
12058,107.2,2.0,0.0
12061,28.200000000000003,2.0,0.0
12066,22.13,2.0,0.0
12070,18.2,2.0,0.0
12077,34.0,2.0,0.0
12080,17.88,2.0,0.0
13001,14.0,2.0,1.0
13003,52.84,4.0,0.0
13007,15.38,2.0,0.0
13011,19.26,2.0,1.0
13012,25.95,3.0,0.0
13023,63.4,2.0,0.0
13025,130.0,2.0,0.0
13028,32.0,2.0,0.0
13029,35.74,3.0,0.0
13030,13.8,4.0,0.0
13037,48.35,2.0,0.0
13040,25.92,2.0,0.0
13046,19.337,2.0,0.0
13047,12.5,3.0,0.0
13048,8.34,4.0,0.0
13052,7.02,4.0,0.0
13054,54.5,2.0,0.0
13061,4.7,4.0,0.0
13062,41.5,2.0,0.0
13064,5.0,2.0,0.0
13069,25.61,3.5,0.0
13070,25.68,4.0,1.0
13076,16.2,4.0,0.0
13079,61.199999999999996,2.0,0.0
13080,2.8,4.0,0.0
13083,40.2,2.0,0.0
14002,2.8,4.0,0.0
14006,74.3,2.0,0.0
14009,70.53,3.0,0.0
14013,1.6,4.0,0.0
14015,111.39999999999999,2.0,0.0
14016,23.0,2.0,0.0
14018,145.1,3.5,0.5
14022,7.529999999999999,2.0,0.0
14024,65.71000000000001,4.0,0.0
14025,38.099999999999994,2.0,0.0
14030,43.4,3.0,0.0
14033,31.900000000000002,2.0,0.0
14034,150.79999999999998,2.0,0.0
14035,23.240000000000002,3.0,0.5
14037,35.32,2.0,0.0
14039,927.14,3.8805970149253732,0.43283582089552236
14046,60.19,3.0,0.5
14047,17.0,2.0,0.0
14053,217.38,3.25,0.5
14055,46.29,2.0,0.0
14058,43.8,2.0,0.0
14059,43.25,2.0,0.0
14063,65.8,2.3333333333333335,0.0
14064,96.01599999999999,2.0,0.4
14065,51.93,2.0,0.0
14067,66.24000000000001,4.0,0.3333333333333333
14070,93.77,2.0,0.0
14073,8.6,3.0,0.0
14074,18.53,4.0,1.0
14075,73.14,2.0,0.0
14082,62.78,2.0,0.0
14083,42.2,4.0,0.0
14085,24.25,2.0,0.0
14087,27.67,2.0,0.0
14088,29.97,2.0,0.0
14093,51.41,2.0,0.0
14094,19.3,2.0,0.0
14099,72.99,2.3333333333333335,0.0
14105,20.2,4.0,1.0
14107,62.11,2.0,0.0
14110,42.6,2.0,0.0
14116,12.22,2.0,0.0
14117,63.519999999999996,4.0,1.0
14118,37.6,2.0,0.0
14121,18.79,2.0,0.0
14124,111.901,3.6923076923076925,0.5384615384615384
15002,13.129999999999999,3.0,0.0
15003,6.9,6.0,1.0
15009,5.46,4.0,0.0
15014,146.859,3.6363636363636362,0.6363636363636364
15025,8.85,5.0,0.0
15030,20.3,6.0,0.0
15033,127.80999999999999,4.0,0.23529411764705882
15039,33.21,7.5,0.0
15040,29.36,3.0,0.0
15050,6.46,2.0,0.0
15051,12.323,4.0,0.3333333333333333
15065,10.9,4.0,1.0
15071,23.8,6.0,1.0
15078,78.08,2.0,0.0
15081,9.879999999999999,8.0,1.0
15084,18.0,4.0,0.0
15086,42.84,2.6666666666666665,0.0
15092,11.09,2.0,0.0
15094,12.89,2.0,0.0
15099,30.029999999999998,4.0,0.5
15103,13.0,4.0,0.0
15106,736.28,3.787878787878788,0.10606060606060606
15107,12.3,2.0,0.0
15120,6.6,3.0,0.0
15124,5.1,2.0,1.0
16006,53.5,3.0,0.0
16010,121.19,2.0,0.0
16011,15.97,2.0,0.0
16012,83.46000000000001,2.4285714285714284,0.14285714285714285
16020,12.46,2.0,0.0
16021,67.02,2.5,0.0
16024,43.59,2.0,0.0
16026,18.0,2.0,0.0
16030,5.6,2.0,0.0
16033,24.1,2.0,0.0
16035,97.5,2.0,0.0
16037,27.0,4.0,1.0
16038,89.3,2.0,0.0
16039,22.2,4.0,0.0
16043,14.4,2.0,0.0
16045,91.05999999999999,2.857142857142857,0.0
16050,164.82,3.0,0.6
16053,447.21,3.1904761904761907,0.3333333333333333
16066,89.94,2.4444444444444446,0.5555555555555556
16069,128.94,2.8,0.2
16070,8.61,2.0,0.0
16072,47.7,2.0,0.0
16073,129.77,2.3333333333333335,0.16666666666666666
16074,10.17,2.0,0.0
16076,130.94,2.888888888888889,0.3333333333333333
16077,20.7,2.0,0.0
16084,23.2,2.0,0.0
16089,34.0,2.0,0.0
16090,54.01,2.0,0.0
16093,48.0,2.0,0.0
16100,11.5,2.0,0.0
16102,116.03,2.25,0.625
16104,99.84,2.888888888888889,0.0
16105,11.64,2.0,0.0
16106,6.0,2.0,0.0
16108,32.72,2.857142857142857,0.14285714285714285
16110,12.2,2.0,0.0
16112,3.6,2.0,0.0
17005,11.46,2.0,0.0
17006,26.259999999999998,5.0,1.0
17007,689.47,3.4745762711864407,0.3389830508474576
17012,35.42,3.7142857142857144,0.14285714285714285
17014,6.77,2.0,0.0
17015,9.879999999999999,4.0,0.0
17017,73.13,2.5,1.0
17018,7.58,3.0,0.0
17020,22.42,3.0,0.5
17021,4.75,2.0,0.0
17023,16.21,3.0,0.5
17026,12.5,2.0,0.0
17029,3.0,2.0,0.0
17035,3.5,4.0,1.0
18001,12.6,2.0,1.0
18002,2.65,2.0,0.0
18006,28.91,2.0,0.0
18007,54.489999999999995,2.6666666666666665,0.6666666666666666
18010,65.30000000000001,2.0,1.0
18012,40.2,2.0,0.0
18014,8.5,4.0,0.0
18015,9.0,2.0,0.0
18016,23.0,2.0,0.0
18017,821.16,2.9491525423728815,0.26666666666666666
18018,9.0,2.0,0.0
19002,19.7,4.0,1.0
19004,97.15,3.3333333333333335,0.0
19005,30.81,4.0,0.0
19006,8.68,5.0,0.0
19010,122.0,2.533333333333333,0.13333333333333333
19011,41.7,2.0,0.0
19012,46.23,2.0,0.0
19013,171.12,2.0,0.0
19016,35.615,4.0,1.0
19028,9.5,2.0,0.0
19030,22.0,2.0,0.0
19033,48.8,2.6666666666666665,0.0
19038,34.1,3.0,0.0
19039,962.21,3.730769230769231,0.11538461538461539
19040,13.1,2.0,0.0
19042,28.1,4.0,1.0
19044,46.17,2.0,0.0
19045,52.75,5.0,0.5
19049,14.5,5.0,0.0
20005,8.6,4.0,0.0
20006,179.0,2.0,0.5
20007,12.5,2.0,0.0
20012,19.0,2.0,0.0
20030,26.4,2.0,0.0
20040,156.75,3.0,0.0
20052,17.94,2.0,0.0
20063,11.51,3.0,0.0
20072,6.34,2.0,0.0
20076,119.66,2.0,0.0
20079,59.6,2.0,0.75
20090,41.44,2.0,0.0
20134,45.0,2.0,0.0
20166,41.32,2.0,0.0
20231,27.48,2.0,1.0
20277,25.4,2.0,0.0
20279,61.0,2.0,0.0
20295,30.0,3.0,0.0
20298,148.7,2.0,0.0
20310,6.2,2.0,0.0
20321,16.3,2.0,0.0
20327,81.05,2.0,0.0
20333,84.34,2.0,0.0
20337,90.0,2.0,0.0
20338,9.02,4.0,0.0
20390,13.100000000000001,2.0,1.0
20409,45.3,3.6,0.0
20413,12.0,2.0,0.0
20431,55.650000000000006,2.0,0.0
20453,36.1,2.0,0.0
20482,581.662,2.4210526315789473,0.02631578947368421
20487,11.81,2.0,0.0
20493,1.33,4.0,1.0
20515,46.8,4.0,0.0
20525,32.0,2.0,0.0
20534,4.8,2.0,0.0
20545,8.0,2.0,0.0
20546,7.14,2.0,0.0
