"CVEGEO","NOMGEO","n_schools_avg","no_n_schools_avg","pct_con_bebederos","no_pct_con_bebederos","pct_con_proteccion_civil","no_pct_con_proteccion_civil","pct_con_cancha","no_pct_con_cancha","avg_anio_creacion","no_avg_anio_creacion"
1005,"JESUS MARIA",10.6666666666667,0,0.180995475113122,0,0.161387631975867,0,0.567873303167421,0,1980.24585218703,0
1008,"SAN JOSE DE GRACIA",6,0,0.5,0,0.666666666666667,0,0.333333333333333,0,1987.33333333333,0
1001,"AGUASCALIENTES",25.3333333333333,0,0.55926105586547,0,0.473643786886571,0,0.717438758185787,0,1978.16177540626,0
1004,"COSIO",5.5,0,0.732142857142857,0,0.196428571428571,0,0.714285714285714,0,1968.67857142857,0
1011,"SAN FRANCISCO DE LOS ROMO",6,0,0.3125,0,0.125,0,0.6875,0,1983.6875,0
1006,"PABELLON DE ARTEAGA",7,0,0.5625,0,0.395833333333333,0,0.770833333333333,0,1982.75,0
1003,"CALVILLO",14,0,0.164141414141414,0,0.194444444444444,0,0.618686868686869,0,1986.75126262626,0
1010,"EL LLANO",6.33333333333333,0,0.481481481481482,0,0.222222222222222,0,0.666666666666667,0,1976.40740740741,0
1002,"ASIENTOS",14.3333333333333,0,0.219096334185848,0,0.325660699062234,0,0.510940608127309,0,1975.17845978971,0
1009,"TEPEZALA",7.5,0,0.15,0,0.6,0,0.6,0,1975.65,0
1007,"RINCON DE ROMOS",14.5,0,0.360526315789474,0,0.310526315789474,0,0.71578947368421,0,1971.40789473684,0
2003,"TECATE",0,1,0,1,0,1,0,1,0,1
2004,"TIJUANA",0,1,0,1,0,1,0,1,0,1
2001,"ENSENADA",0,1,0,1,0,1,0,1,0,1
2006,"SAN QUINTIN",0,1,0,1,0,1,0,1,0,1
2007,"SAN FELIPE",6,0,0,0,0,0,0.5,0,1985.5,0
2007,"SAN FELIPE",1,0,0,0,0,0,1,0,1936,0
2002,"MEXICALI",5,0,0.4,0,0.4,0,0.8,0,1970.2,0
2005,"PLAYAS DE ROSARITO",0,1,0,1,0,1,0,1,0,1
3002,"MULEGE",4,0,0.25,0,0,0,0.25,0,1976,0
3009,"LORETO",2,0,0,0,0.5,0,0.5,0,1991,0
3009,"LORETO",3.5,0,0,0,0.166666666666667,0,0.25,0,1992.33333333333,0
3008,"LOS CABOS",12,0,0.166666666666667,0,0.5,0,0.416666666666667,0,1985.75,0
3003,"LA PAZ",28,0,0.357142857142857,0,0.214285714285714,0,0.571428571428571,0,1978.21428571429,0
3001,"COMONDU",23,0,0.260869565217391,0,0.217391304347826,0,0.739130434782609,0,1974.17391304348,0
4003,"CARMEN",1,0,0,0,0,0,0,0,1994,0
4007,"PALIZADA",2,0,0,0,0,0,0,0,1994,0
4013,"DZITBALCHE",0,1,0,1,0,1,0,1,0,1
4005,"HECELCHAKAN",1,0,0,0,0,0,0,0,1983,0
4004,"CHAMPOTON",1.5,0,0,0,0.5,0,0,0,1997,0
4011,"CANDELARIA",0,1,0,1,0,1,0,1,0,1
4012,"SEYBAPLAYA",0,1,0,1,0,1,0,1,0,1
4002,"CAMPECHE",2,0,0.5,0,0,0,0,0,1993,0
4006,"HOPELCHEN",1,0,0,0,0.5,0,0,0,1987,0
4001,"CALKINI",1,0,0,0,0,0,0,0,1993,0
4010,"CALAKMUL",3,0,0,0,0.333333333333333,0,0,0,1997.66666666667,0
4009,"ESCARCEGA",0,1,0,1,0,1,0,1,0,1
4008,"TENABO",0,1,0,1,0,1,0,1,0,1
5005,"CANDELA",0,1,0,1,0,1,0,1,0,1
5017,"MATAMOROS",1,0,0,0,0,0,0,0,1991,0
5018,"MONCLOVA",0,1,0,1,0,1,0,1,0,1
5014,"JIMENEZ",2,0,0.166666666666667,0,0,0,0.166666666666667,0,2001.33333333333,0
5035,"TORREON",0,1,0,1,0,1,0,1,0,1
5013,"HIDALGO",1,0,0,0,0,0,1,0,1980,0
5015,"JUAREZ",25,0,0.553480475382003,0,0.234295415959253,0,0.559422750424448,0,1990.97028862479,0
5020,"MUZQUIZ",0,1,0,1,0,1,0,1,0,1
5024,"PARRAS",0,1,0,1,0,1,0,1,0,1
5026,"PROGRESO",2,0,0.5,0,0.5,0,0,0,1997,0
5027,"RAMOS ARIZPE",0,1,0,1,0,1,0,1,0,1
5025,"PIEDRAS NEGRAS",0,1,0,1,0,1,0,1,0,1
5028,"SABINAS",0,1,0,1,0,1,0,1,0,1
5030,"SALTILLO",6,0,0.333333333333333,0,0.166666666666667,0,0.333333333333333,0,1969.5,0
5031,"SAN BUENAVENTURA",0,1,0,1,0,1,0,1,0,1
5016,"LAMADRID",0,1,0,1,0,1,0,1,0,1
5004,"ARTEAGA",3,0,0.666666666666667,0,0,0,0.333333333333333,0,1974.33333333333,0
5002,"ACUNA",0,1,0,1,0,1,0,1,0,1
5032,"SAN JUAN DE SABINAS",0,1,0,1,0,1,0,1,0,1
5033,"SAN PEDRO",0,1,0,1,0,1,0,1,0,1
5009,"FRANCISCO I. MADERO",0,1,0,1,0,1,0,1,0,1
5012,"GUERRERO",2.5,0,0.416666666666667,0,0,0,0.333333333333333,0,1987.5,0
5006,"CASTANOS",0,1,0,1,0,1,0,1,0,1
5003,"ALLENDE",0,1,0,1,0,1,0,1,0,1
5023,"OCAMPO",2,0,0.5,0,0.5,0,1,0,1984.5,0
5008,"ESCOBEDO",0,1,0,1,0,1,0,1,0,1
5022,"NAVA",0,1,0,1,0,1,0,1,0,1
5019,"MORELOS",1,0,1,0,0,0,1,0,1982,0
5007,"CUATRO CIENEGAS",0,1,0,1,0,1,0,1,0,1
5034,"SIERRA MOJADA",0,1,0,1,0,1,0,1,0,1
5037,"VILLA UNION",0,1,0,1,0,1,0,1,0,1
5029,"SACRAMENTO",0,1,0,1,0,1,0,1,0,1
5001,"ABASOLO",5,0,0.4,0,0.4,0,0.6,0,1981.4,0
5038,"ZARAGOZA",0,1,0,1,0,1,0,1,0,1
5021,"NADADORES",0,1,0,1,0,1,0,1,0,1
5010,"FRONTERA",0,1,0,1,0,1,0,1,0,1
5011,"GENERAL CEPEDA",2,0,0.5,0,0,0,0,0,1971.5,0
5036,"VIESCA",0,1,0,1,0,1,0,1,0,1
6006,"IXTLAHUACAN",0,1,0,1,0,1,0,1,0,1
6002,"COLIMA",0,1,0,1,0,1,0,1,0,1
6005,"CUAUHTEMOC",4.5,0,0.675,0,0,0,0.9,0,1984.3,0
6005,"CUAUHTEMOC",2,0,0.166666666666667,0,0,0,0,0,1980.5,0
6008,"MINATITLAN",0,1,0,1,0,1,0,1,0,1
6001,"ARMERIA",0,1,0,1,0,1,0,1,0,1
6004,"COQUIMATLAN",0,1,0,1,0,1,0,1,0,1
6010,"VILLA DE ALVAREZ",0,1,0,1,0,1,0,1,0,1
6003,"COMALA",0,1,0,1,0,1,0,1,0,1
6007,"MANZANILLO",0,1,0,1,0,1,0,1,0,1
6009,"TECOMAN",0,1,0,1,0,1,0,1,0,1
7019,"COMITAN DE DOMINGUEZ",0,1,0,1,0,1,0,1,0,1
7090,"TAPALAPA",0,1,0,1,0,1,0,1,0,1
7020,"LA CONCORDIA",0,1,0,1,0,1,0,1,0,1
7021,"COPAINALA",1,0,0,0,1,0,1,0,1984,0
7079,"SAN FERNANDO",0,1,0,1,0,1,0,1,0,1
7109,"YAJALON",0,1,0,1,0,1,0,1,0,1
7108,"VILLAFLORES",0,1,0,1,0,1,0,1,0,1
7107,"VILLA CORZO",1,0,1,0,1,0,1,0,1973,0
7106,"VENUSTIANO CARRANZA",1,0,0,0,0,0,0,0,2006,0
7104,"TZIMOL",0,1,0,1,0,1,0,1,0,1
7103,"TUZANTAN",0,1,0,1,0,1,0,1,0,1
7102,"TUXTLA CHICO",0,1,0,1,0,1,0,1,0,1
7101,"TUXTLA GUTIERREZ",3,0,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0,1989.66666666667,0
7120,"CAPITAN LUIS ANGEL VIDAL",0,1,0,1,0,1,0,1,0,1
7074,"REFORMA",1,0,1,0,1,0,1,0,1995,0
7075,"LAS ROSAS",0,1,0,1,0,1,0,1,0,1
7057,"MOTOZINTLA",0,1,0,1,0,1,0,1,0,1
7007,"AMATENANGO DEL VALLE",0,1,0,1,0,1,0,1,0,1
7111,"ZINACANTAN",0,1,0,1,0,1,0,1,0,1
7054,"MAZATAN",0,1,0,1,0,1,0,1,0,1
7076,"SABANILLA",0,1,0,1,0,1,0,1,0,1
7081,"SIMOJOVEL",0,1,0,1,0,1,0,1,0,1
7063,"OSUMACINTA",0,1,0,1,0,1,0,1,0,1
7110,"SAN LUCAS",0,1,0,1,0,1,0,1,0,1
7051,"MAPASTEPEC",0,1,0,1,0,1,0,1,0,1
7070,"EL PORVENIR",0,1,0,1,0,1,0,1,0,1
7112,"SAN JUAN CANCUC",0,1,0,1,0,1,0,1,0,1
7050,"LA LIBERTAD",0,1,0,1,0,1,0,1,0,1
7022,"CHALCHIHUITAN",0,1,0,1,0,1,0,1,0,1
7053,"MAZAPA DE MADERO",0,1,0,1,0,1,0,1,0,1
7080,"SILTEPEC",0,1,0,1,0,1,0,1,0,1
7049,"LARRAINZAR",1,0,0,0,0,0,0,0,1998,0
7065,"PALENQUE",0,1,0,1,0,1,0,1,0,1
7086,"SUCHIAPA",1,0,1,0,1,0,1,0,1953,0
7062,"OSTUACAN",0,1,0,1,0,1,0,1,0,1
7077,"SALTO DE AGUA",0,1,0,1,0,1,0,1,0,1
7082,"SITALA",0,1,0,1,0,1,0,1,0,1
7024,"CHANAL",0,1,0,1,0,1,0,1,0,1
7121,"RINCON CHAMULA SAN PEDRO",0,1,0,1,0,1,0,1,0,1
7042,"IXHUATAN",0,1,0,1,0,1,0,1,0,1
7025,"CHAPULTENANGO",0,1,0,1,0,1,0,1,0,1
7018,"COAPILLA",1,0,0,0,1,0,1,0,1982,0
7052,"LAS MARGARITAS",0,1,0,1,0,1,0,1,0,1
7026,"CHENALHO",0,1,0,1,0,1,0,1,0,1
7083,"SOCOLTENANGO",0,1,0,1,0,1,0,1,0,1
7084,"SOLOSUCHIAPA",0,1,0,1,0,1,0,1,0,1
7089,"TAPACHULA",0,1,0,1,0,1,0,1,0,1
7068,"PICHUCALCO",0,1,0,1,0,1,0,1,0,1
7027,"CHIAPA DE CORZO",1,0,0,0,0,0,0,0,1988,0
7048,"JUAREZ",25,0,0.553480475382003,0,0.234295415959253,0,0.559422750424448,0,1990.97028862479,0
