CVEGEO,municipio,entidad,composite,rank_composite,non_sampled,treated
25006,Culiacán,Sinaloa,21.471977611204228,1,0,1
02004,Tijuana,Baja California,14.887538050230432,2,0,1
15033,Ecatepec de Morelos,México,10.89172428061888,3,0,1
08037,Juárez,Chihuahua,10.366702915568132,4,0,1
21114,Puebla,Puebla,8.422815101393617,5,0,1
11020,León,Guanajuato,8.038209261726449,6,0,1
12001,Acapulco de Juárez,Guerrero,7.148989758021304,7,0,1
09007,Iztapalapa,Ciudad de México,6.6621174461414085,8,0,1
14039,Guadalajara,Jalisco,6.436190136096155,9,0,1
14098,San Pedro Tlaquepaque,Jalisco,5.773853657869705,10,0,1
15104,Tlalnepantla de Baz,México,5.580819644714609,11,0,1
15057,Naucalpan de Juárez,México,5.449027755013398,12,0,1
15031,Chimalhuacán,México,4.5348652805460885,13,0,1
27004,Centro,Tabasco,4.44914733722681,14,0,1
26018,Cajeme,Sonora,4.328523229575379,15,0,1
16053,Morelia,Michoacán de Ocampo,4.3037456754766374,16,0,1
14120,Zapopan,Jalisco,4.298902162219781,17,0,1
11007,Celaya,Guanajuato,4.224755457279091,18,0,1
17007,Cuernavaca,Morelos,4.174019458563687,19,0,1
02002,Mexicali,Baja California,4.130517402602138,20,0,1
26030,Hermosillo,Sonora,4.059301375741202,21,0,1
11017,Irapuato,Guanajuato,4.0150557195348595,22,0,1
09005,Gustavo A. Madero,Ciudad de México,3.919769330600989,23,0,1
23005,Benito Juárez,Quintana Roo,3.825171527962947,24,0,1
08019,Chihuahua,Chihuahua,3.7995191262243178,25,0,1
19039,Monterrey,Nuevo León,3.664275096553427,26,0,1
25012,Mazatlán,Sinaloa,3.623167398102259,27,0,1
15121,Cuautitlán Izcalli,México,3.563800365650824,28,0,0
15106,Toluca,México,3.538726412110026,29,0,1
16102,Uruapan,Michoacán de Ocampo,3.537567443195291,30,0,1
24028,San Luis Potosí,San Luis Potosí,3.371682054977589,31,0,1
28032,Reynosa,Tamaulipas,3.214697296223975,32,0,0
15058,Nezahualcóyotl,México,3.2125248045533183,33,0,1
14097,Tlajomulco de Zúñiga,Jalisco,3.1781916843197364,34,0,0
15081,Tecámac,México,3.0772901367903196,35,0,0
11027,Salamanca,Guanajuato,3.0672221959292014,36,0,1
15025,Chalco,México,3.063913465741269,37,0,1
15109,Tultitlán,México,3.0351742018519055,38,0,0
14101,Tonalá,Jalisco,2.7080614203712354,39,0,1
22014,Querétaro,Querétaro,2.6272080960785136,40,0,0
16108,Zamora,Michoacán de Ocampo,2.6257535893033968,41,0,1
16006,Apatzingán,Michoacán de Ocampo,2.2295862623941685,42,0,1
06007,Manzanillo,Colima,2.1998745880595214,43,0,1
09010,Álvaro Obregón,Ciudad de México,2.1729254758287713,44,0,0
15122,Valle de Chalco Solidaridad,México,2.137596318571266,45,0,1
15070,La Paz,México,2.113286060041728,46,0,1
17011,Jiutepec,Morelos,2.0446738505175093,47,0,0
25018,Navolato,Sinaloa,2.0266752693706103,48,0,0
26055,San Luis Río Colorado,Sonora,1.905493566999468,49,0,1
09012,Tlalpan,Ciudad de México,1.8867042362376958,50,0,0
12029,Chilpancingo de los Bravo,Guerrero,1.8777464683465324,51,0,1
09015,Cuauhtémoc,Ciudad de México,1.8342871981064492,52,0,0
15060,Nicolás Romero,México,1.7857521958748894,53,0,0
15039,Ixtapaluca,México,1.7411525699000638,54,0,1
02001,Ensenada,Baja California,1.6851792801261698,55,0,0
15013,Atizapán de Zaragoza,México,1.6738824964012793,56,0,0
30193,Veracruz,Veracruz de Ignacio de la Llave,1.6220012784205224,57,0,0
19026,Guadalupe,Nuevo León,1.5324457552863169,58,0,0
17006,Cuautla,Morelos,1.5304525022029942,59,0,1
11042,Valle de Santiago,Guanajuato,1.502643231503799,60,0,0
14070,El Salto,Jalisco,1.4967906528639336,61,0,0
15120,Zumpango,México,1.4889524628125719,62,0,0
01001,Aguascalientes,Aguascalientes,1.4191962037507608,63,0,0
19031,Juárez,Nuevo León,1.4133683877231666,64,0,0
09013,Xochimilco,Ciudad de México,1.4052625417133762,65,0,0
09017,Venustiano Carranza,Ciudad de México,1.4051664370847752,66,0,0
